pl_name,hostname,pl_letter,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_pubdate,disc_locale,disc_facility,disc_telescope,pl_orbper,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_ratdor,st_spectype,st_teff,st_rad,st_mass,st_lum,st_logg,st_age,st_dens,st_vsin,sy_gaiamag
K2-29 b,K2-29,b,2,1,0,Transit,2016,2016-06,Space,K2,0.95 m Kepler Telescope,3.25883210,13.339,232.01590,0.530000,0.066000,293.00,1171,86.656,10.510000,G7 V,5358.00,0.86,0.94,-0.295,4.54,2.600,2.90000,3.7000,12.2008000
K2-290 b,K2-290,b,3,2,0,Transit,2019,2019-04,Space,K2,0.95 m Kepler Telescope,9.21165000,3.060,10.90000,4.100000,0.000000,,1230,88.140,13.150000,,6302.00,1.51,1.19,0.420,4.23,4.000,0.48500,6.5000,10.8204000
K2-290 c,K2-290,c,3,2,0,Transit,2019,2019-04,Space,K2,0.95 m Kepler Telescope,48.36685000,11.276,246.00042,1.010000,0.000000,,676,89.370,43.500000,,6302.00,1.51,1.19,0.420,4.23,4.000,0.48500,6.5000,10.8204000
K2-291 b,K2-291,b,1,1,0,Transit,2019,2019-03,Space,K2,0.95 m Kepler Telescope,2.22517700,1.589,6.49000,8.840000,0.000000,633.00,,85.260,7.794200,,5520.00,0.90,0.93,-0.166,4.50,3.720,1.77000,2.0000,9.8663900
K2-292 b,K2-292,b,1,1,0,Transit,2019,2019-03,Space,K2,0.95 m Kepler Telescope,16.98410000,2.630,24.50000,7.400000,0.040000,67.00,795,88.400,25.900000,G3 V,5725.00,1.09,1.00,0.093,4.33,6.800,1.14000,4.6000,9.7559700
K2-293 b,K2-293,b,1,1,0,Transit,2019,2019-05,Space,K2,0.95 m Kepler Telescope,13.12250000,2.450,6.57000,2.450000,,,750,88.800,22.900000,,5532.00,0.95,0.96,-0.180,4.52,,1.68821,,13.1611000
K2-294 b,K2-294,b,1,1,0,Transit,2019,2019-05,Space,K2,0.95 m Kepler Telescope,2.50387000,1.660,3.39000,4.070000,,,1425,85.500,6.490000,,5612.00,1.20,0.99,0.088,4.20,,0.89260,,12.3700000
K2-295 b,K2-295,b,1,1,0,Transit,2018,2019-06,Space,K2,0.95 m Kepler Telescope,4.02486700,10.054,106.47305,0.612000,0.000000,,852,89.300,13.760000,K5 V,4444.00,0.70,0.74,-0.716,4.63,,3.04300,2.2000,13.5184000
K2-3 b,K2-3,b,1,3,0,Transit,2015,2015-05,Space,K2,0.95 m Kepler Telescope,10.05462600,1.980,6.48000,3.700000,0.000000,5.80,504,89.588,30.020000,M0.0&plusmn0.5 V,3896.00,0.56,0.60,-1.150,4.73,1.000,5.05000,,11.4785000
K2-3 c,K2-3,c,1,3,0,Transit,2015,2015-05,Space,K2,0.95 m Kepler Telescope,24.64658200,1.560,2.14000,2.980000,0.000000,1.77,374,89.905,54.570000,M0.0&plusmn0.5 V,3896.00,0.56,0.60,-1.150,4.73,1.000,5.05000,,11.4785000
K2-3 d,K2-3,d,1,3,0,Transit,2015,2015-05,Space,K2,0.95 m Kepler Telescope,44.55646000,1.530,2.80000,5.620000,0.000000,0.80,282,89.788,80.980000,M0.0&plusmn0.5 V,3896.00,0.56,0.60,-1.150,4.73,1.000,5.05000,,11.4785000
K2-30 b,K2-30,b,1,1,0,Transit,2016,2016-06,Space,K2,0.95 m Kepler Telescope,4.09850300,11.646,184.02357,0.640000,0.000000,299.00,1092,86.920,12.340000,G6 V,5425.00,0.84,0.90,-0.256,4.54,3.900,2.11000,1.4000,13.2056000
K2-308 b,K2-308,b,1,1,0,Transit,2019,2019-08,Space,K2,0.95 m Kepler Telescope,3.38628000,9.916,70.60000,0.398000,,,,88.440,7.940000,,6100.00,1.24,1.09,0.283,3.94,,,29.0000,14.8949000
K2-31 b,K2-31,b,2,1,0,Transit,2016,2016-06,Space,K2,0.95 m Kepler Telescope,1.25785000,11.882,563.83042,1.850000,0.000000,1272.00,,79.900,6.050000,G7 V,5280.00,0.78,0.91,-0.110,4.60,,1.19289,2.6000,10.5371000
K2-315 b,K2-315,b,1,1,0,Transit,2020,2020-06,Space,K2,0.95 m Kepler Telescope,3.14431890,0.950,0.80900,5.180000,,7.45,460,88.740,25.720000,M(3.5+/-0.5) V,3300.00,0.20,0.17,-2.387,5.09,1.000,32.60000,5.0000,15.6791000
K2-316 b,K2-316,b,1,2,0,Transit,2020,2020-07,Space,K2,0.95 m Kepler Telescope,1.13300000,1.330,2.33000,5.440000,,,841,87.020,,,3436.00,0.38,0.41,-1.830,4.89,,10.82654,,15.5140000
K2-316 c,K2-316,c,1,2,0,Transit,2020,2020-07,Space,K2,0.95 m Kepler Telescope,5.26000000,1.830,4.01000,3.600000,,,423,89.310,,,3436.00,0.38,0.41,-1.830,4.89,,10.82654,,15.5140000
K2-317 b,K2-317,b,1,1,0,Transit,2020,2020-07,Space,K2,0.95 m Kepler Telescope,6.22000000,2.930,8.91000,1.950000,,,432,89.220,,,3387.00,0.38,0.40,-1.871,4.88,,11.58286,,16.6387000
K2-318 b,K2-318,b,1,1,0,Transit,2020,2020-07,Space,K2,0.95 m Kepler Telescope,7.01000000,1.660,3.39000,4.070000,,,456,89.380,,,3851.00,0.55,0.56,-1.277,4.70,,4.49344,,14.3967000
K2-319 b,K2-319,b,1,1,0,Transit,2020,2020-07,Space,K2,0.95 m Kepler Telescope,26.68000000,2.790,8.20000,2.070000,,,641,89.450,,,5440.00,0.90,0.95,-0.237,4.51,,1.62082,,11.9397000
K2-32 b,K2-32,b,2,4,0,Transit,2016,2016-06,Space,K2,0.95 m Kepler Telescope,8.99182800,4.960,16.50000,0.670000,0.000000,77.70,817,89.115,20.245164,G9 V,5415.00,0.84,0.86,-0.296,4.49,7.900,2.00000,0.7000,12.0036000
K2-32 c,K2-32,c,2,4,0,Transit,2016,2016-06,Space,K2,0.95 m Kepler Telescope,20.66186000,2.740,12.10000,2.700000,0.000000,25.60,619,89.275,33.800000,G9 V,5415.00,0.84,0.86,-0.488,4.49,7.900,2.00000,0.7000,12.0036000
K2-32 d,K2-32,d,2,4,0,Transit,2016,2016-06,Space,K2,0.95 m Kepler Telescope,31.71420000,3.270,10.30000,1.380000,0.000000,14.50,537,89.345,46.000000,G9 V,5415.00,0.84,0.86,-0.488,4.49,7.900,2.00000,0.7000,12.0036000
K2-32 e,K2-32,e,2,4,0,Transit,2019,2019-05,Space,K2,0.95 m Kepler Telescope,4.34882000,1.010,1.01000,5.390000,,,,,2.850000,G9 V,5415.00,0.84,0.86,-0.488,4.49,7.900,2.00000,0.7000,12.0036000
K2-320 b,K2-320,b,1,1,0,Transit,2020,2020-07,Space,K2,0.95 m Kepler Telescope,1.99500000,2.620,7.37000,2.250000,,,698,87.840,,,3157.00,0.30,0.12,-2.125,4.55,,16.90184,,16.3554000
K2-321 b,K2-321,b,1,1,0,Transit,2020,2020-07,Space,K2,0.95 m Kepler Telescope,2.29800000,1.950,4.46000,3.310000,,,701,88.940,,,3855.00,0.58,0.60,-1.254,4.68,,3.97279,,12.8241000
K2-322 b,K2-322,b,1,1,0,Transit,2020,2020-07,Space,K2,0.95 m Kepler Telescope,8.20500000,1.920,4.35000,3.380000,,,635,88.150,,,4141.00,0.60,0.63,-1.039,4.68,,3.57867,,13.3108000
K2-323 b,K2-323,b,1,1,0,Transit,2020,2020-07,Space,K2,0.95 m Kepler Telescope,24.93000000,2.100,5.06000,3.000000,,,318,89.880,,,3710.00,0.55,0.48,-1.339,4.63,,4.86477,,14.0693000
K2-324 b,K2-324,b,1,1,0,Transit,2020,2020-07,Space,K2,0.95 m Kepler Telescope,3.26200000,2.430,6.48000,2.480000,,,707,88.330,,,3752.00,0.51,0.52,-1.333,4.74,,5.31375,,14.5172000
K2-325 b,K2-325,b,1,1,0,Transit,2020,2020-07,Space,K2,0.95 m Kepler Telescope,6.93000000,2.200,5.48000,2.830000,,,423,89.370,,,3287.00,0.30,0.27,-2.048,4.84,,14.63907,,16.1370000
K2-326 b,K2-326,b,1,1,0,Transit,2020,2020-07,Space,K2,0.95 m Kepler Telescope,1.25600000,2.280,5.82000,2.700000,,,1114,85.630,,,3924.00,0.69,0.51,-0.978,4.46,,2.80726,,15.0082000
K2-329 b,K2-329,b,1,1,0,Transit,2020,2020-10,Space,K2,0.95 m Kepler Telescope,12.45512250,8.676,82.63580,0.694000,0.069700,45.70,650,89.220,26.620000,,5282.00,0.82,0.90,-0.325,4.57,1.800,2.30000,1.9000,12.4462000
K2-33 b,K2-33,b,1,1,0,Transit,2016,2016-06,Space,K2,0.95 m Kepler Telescope,5.42486500,5.040,1175.97100,,0.000000,,850,89.100,10.400000,M3.3,3540.00,1.05,0.56,-0.824,4.06,0.009,0.72000,8.2000,14.1570000
K2-34 b,K2-34,b,1,1,0,Transit,2016,2016-07,Space,K2,0.95 m Kepler Telescope,2.99563300,13.960,539.67534,0.940000,0.000000,,1559,82.230,6.840000,F,6071.00,1.44,1.15,0.400,4.18,2.880,0.67500,6.3100,11.4357000
K2-35 b,K2-35,b,1,2,0,Transit,2016,2016-08,Space,K2,0.95 m Kepler Telescope,2.39996400,1.320,2.30000,5.500000,0.130000,211.00,979,88.980,10.530000,K4 V,4402.71,0.62,0.70,-0.719,4.70,,2.02725,3.0000,13.9152000
K2-35 c,K2-35,c,1,2,0,Transit,2016,2016-08,Space,K2,0.95 m Kepler Telescope,5.60835200,1.930,4.38000,3.350000,0.120000,68.00,766,88.580,19.100000,K4 V,4402.71,0.62,0.70,-0.719,4.70,,2.02725,3.0000,13.9152000
K2-36 b,K2-36,b,1,2,0,Transit,2016,2016-08,Space,K2,0.95 m Kepler Telescope,1.42261400,1.430,3.90000,7.200000,0.000000,529.00,1224,84.450,6.630000,K2 V,4916.00,0.72,0.79,-0.570,4.62,1.400,2.99000,2.0000,11.5270000
K2-36 c,K2-36,c,1,2,0,Transit,2016,2016-08,Space,K2,0.95 m Kepler Telescope,5.34088800,3.200,7.80000,1.300000,0.000000,90.00,788,86.917,16.010000,K2 V,4916.00,0.72,0.79,-0.570,4.62,1.400,2.99000,2.0000,11.5270000
K2-37 b,K2-37,b,1,3,0,Transit,2016,2016-08,Space,K2,0.95 m Kepler Telescope,4.44117000,1.610,3.22000,4.240000,,213.30,974,87.280,11.400000,G3 V,5413.00,0.85,0.90,-0.469,4.52,,1.80561,2.0000,12.2573000
K2-37 c,K2-37,c,1,3,0,Transit,2016,2016-08,Space,K2,0.95 m Kepler Telescope,6.42904000,2.750,8.00000,2.110000,,130.30,861,87.370,13.500000,G3 V,5413.00,0.85,0.90,-0.408,4.52,,1.80561,2.0000,12.2573000
K2-37 d,K2-37,d,1,3,0,Transit,2016,2016-08,Space,K2,0.95 m Kepler Telescope,14.09189000,2.730,7.90000,2.130000,,45.70,663,88.340,26.200000,G3 V,5413.00,0.85,0.90,-0.469,4.52,,1.80561,2.0000,12.2573000
K2-38 b,K2-38,b,1,2,0,Transit,2016,2016-08,Space,K2,0.95 m Kepler Telescope,4.01593000,1.906,19.06980,17.500000,,465.90,1184,87.280,10.100000,G2 V,5757.00,1.38,2.24,0.000,4.35,,1.21000,2.0000,11.1840000
K2-38 c,K2-38,c,1,2,0,Transit,2016,2016-08,Space,K2,0.95 m Kepler Telescope,10.56103000,2.420,9.90000,3.600000,,128.30,858,88.610,26.200000,G2 V,5757.00,1.10,1.07,0.000,4.35,,0.90362,2.0000,11.1840000
K2-39 b,K2-39,b,1,1,0,Transit,2016,2016-11,Space,K2,0.95 m Kepler Telescope,4.60543000,6.277,28.60470,0.500000,0.000000,1356.00,1670,80.390,3.410000,,4881.00,2.97,0.66,0.674,3.44,3.090,0.04000,2.0100,10.5959000
K2-4 b,K2-4,b,1,1,0,Transit,2015,2015-08,Space,K2,0.95 m Kepler Telescope,10.00341700,2.100,5.06000,3.000000,0.080000,15.60,563,89.540,27.680000,,4014.73,0.57,0.64,-0.915,4.85,,2.81523,,14.3403000
K2-42 b,K2-42,b,1,1,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,6.68796000,2.150,5.27000,2.910000,,44.10,,,14.000000,,4613.00,0.64,0.70,-0.703,4.66,,2.58259,,14.6336000
K2-43 b,K2-43,b,1,2,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,3.47114900,4.510,18.50000,1.110000,0.070000,49.00,939,89.600,8.000000,,3840.60,0.54,0.57,-1.273,4.68,,4.39884,,14.8215000
K2-43 c,K2-43,c,1,2,0,Transit,2019,2019-07,Space,K2,0.95 m Kepler Telescope,2.19888400,2.420,6.44000,2.500000,,,1094,89.260,5.900000,,3840.60,0.54,0.57,-1.212,4.68,,4.39884,,14.8215000
K2-44 b,K2-44,b,1,1,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,5.65700000,2.433,6.50000,2.480000,,646.00,1211,87.993,9.377576,,5912.00,1.58,1.15,0.430,4.10,,0.32177,,12.0238000
K2-45 b,K2-45,b,1,1,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,1.72926840,6.710,36.40000,0.662000,0.100000,100.00,,87.750,7.670000,,4103.00,0.45,0.50,-0.712,4.82,,2.12887,,15.3442000
K2-46 b,K2-46,b,1,1,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,19.15410000,2.050,4.86000,3.100000,,119.00,889,88.649,18.822359,,6256.00,1.29,0.96,0.413,4.20,,0.60110,,11.9153000
K2-47 b,K2-47,b,1,1,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,31.63720000,1.890,4.23000,3.440000,,10.70,,,46.800000,,5054.00,0.76,0.75,-0.482,4.54,,2.04062,,13.7404000
K2-48 b,K2-48,b,1,1,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,20.50650000,2.240,5.65000,2.760000,,15.30,,,42.000000,,4899.00,0.73,0.77,-0.657,4.60,,2.69260,,13.9677000
K2-49 b,K2-49,b,1,1,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,2.77065000,1.930,4.38000,3.350000,,59.00,,,8.530000,,4175.00,0.45,0.51,-0.774,4.81,,2.53526,,15.2444000
K2-5 b,K2-5,b,1,2,0,Transit,2015,2015-08,Space,K2,0.95 m Kepler Telescope,5.73594000,1.910,4.31000,3.400000,,24.10,565,87.350,14.000000,K7.5 V,3930.00,0.57,0.61,-1.083,4.71,,4.40480,,14.3390000
K2-5 c,K2-5,c,1,2,0,Transit,2015,2015-08,Space,K2,0.95 m Kepler Telescope,10.93241000,2.260,5.73000,2.730000,,10.20,456,86.950,15.600000,K7.5 V,3930.00,0.57,0.61,-1.083,4.71,,4.40480,,14.3390000
K2-50 b,K2-50,b,1,2,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,8.75290000,1.590,3.15000,4.310000,,18.80,,,20.600000,,4326.00,0.55,0.61,-0.874,4.74,,2.55179,,14.2575000
K2-52 b,K2-52,b,1,1,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,3.53505500,18.000,45700.00000,43.100000,,1124.00,2004,86.460,5.200000,,7147.00,2.19,1.69,0.027,3.98,,0.22000,,15.2553000
K2-53 b,K2-53,b,1,1,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,12.20772000,2.600,7.27000,2.270000,,52.50,665,89.320,26.300000,,5263.00,0.81,0.85,-0.579,4.55,,2.29000,,12.1478000
K2-54 b,K2-54,b,1,1,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,9.78430000,1.150,1.60000,5.780000,,6.10,,,,,3798.00,0.38,0.42,-1.011,4.89,,3.36086,,13.9449000
