pl_orbper,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_ratdor
21.06884,1.75,3.71,3.8,,,638.0,89.214,38.3
11.89307,4.34,17.4,1.17,,,923.0,,17.5
5.76918,3.49,12.0,1.55,,,977.0,,11.1
2.25021,2.12,5.14,2.96,,,979.0,,8.7
6.49424,2.19,5.43,2.84,,,688.0,,18.2
7.17256,2.57,7.13,2.31,,,886.0,,16.2
12.409,2.79,8.2,2.07,,,1061.0,,14.5
3.484552,3.43,11.6,1.58,0.27,,,88.3,
4.01457,2.44,6.53,2.47,,,958.0,,12.3
9.30075,2.35,6.12,2.59,,,437.0,,20.6
13.81513,1.74,3.68,3.84,,,639.0,,25.7
4.00167,12.67,,,,,1238.0,,13.9
4.09639,1.63,3.29,4.17,,,791.0,,15.8
12.11839,2.19,5.43,2.84,,,551.0,,31.3
1.96417,2.9,8.75,1.97,,,1034.0,,9.1
5.52011,2.63,7.41,2.24,,,845.0,,7.6
1.60588,0.83,0.498,4.79,,,789.0,,8.2
19.0921,3.0,9.27,1.89,,,831.0,,21.5
15.48043,2.32,5.99,2.64,,,795.0,89.027,29.9
14.5665,2.67,7.61,2.2,,5.8,430.0,88.4,20.7
2.6266657,17.396,451.3186,0.5,0.0,,1957.0,88.67,5.291
11.63344,9.528,70.87609,0.483,0.39,,1080.0,88.4,13.3
50.818947,2.41,14.8,5.7,0.14,,470.0,89.24,64.7
5.840002,2.231,5.61,2.78,0.5,,496.0,89.01,22.84
19.660302,2.668,7.6,2.2,0.45,,331.0,89.38,51.3
2.369172,1.71,6.54,7.1,0.084,,,87.7,7.283787
0.658524,3.3,11.26782,1.77,,879.5,1515.0,75.32,4.0
7.814,0.705,0.29013,4.51,0.042,32.4,664.0,88.28,20.8
14.697,2.93,8.9,2.03,0.047,13.95,538.0,89.46,31.7
19.482,2.73,14.3,2.21,0.043,9.58,490.0,89.45,38.2
2.151894,1.41,2.57,5.04,,,1121.0,,7.96
9.326841,2.69,7.7,2.17,,,688.0,88.71,23.41
4.144965,1.57,3.09,4.39,,,1429.0,86.72,10.07
6.771315,4.48,30.9,1.87,0.251,116.0,902.0,88.871,16.5
1.543069,1.38,2.48,5.19,,,1203.0,,6.04
4.400028,2.95,9.01,1.93,,,848.0,,20.94
8.562421,7.28,41.8,0.595,,,893.0,,20.69
14.453533,2.91,8.8,1.96,,,655.0,,30.54
11.716332,4.42,17.9,1.14,,,672.0,90.0,6.48
14.129714,2.2,5.48,2.83,,,589.0,89.44,31.54
3.280961,2.24,5.65,2.76,,,905.0,88.019,12.28
8.438756,2.34,6.08,2.61,,,660.0,,26.78
18.718269,3.77,13.7,1.4,,,583.0,,21.07
6.326763,2.07,4.94,3.06,,,958.0,88.686,24.45
3.334966,2.98,9.17,1.9,,,1711.0,,6.24
7.122605,1.21,1.92,5.96,,,879.0,,14.45
2.260455,2.32,5.99,2.64,0.0,30.1,568.0,88.9,17.9
19.895202,7.67,45.6,0.555,,,744.0,88.588,17.56
8.687721,8.18,50.9,0.511,,,665.0,,25.9
4.169836,2.82,8.35,2.05,,,1057.0,,10.99
1.921036,3.52,12.2,1.54,,,1186.0,,8.23
4.795069,2.78,8.15,2.08,0.078,42.6,653.0,89.0,16.84
3.471745,2.59,9.68,3.07,0.0,234.31,1089.0,86.846,10.43
7.138048,3.53,15.68,1.95,0.0,50.35,741.0,89.861,22.51
10.45582,2.48,6.5,,0.0,24.61,620.0,89.643,32.2
14.76289,1.95,10.7,,0.0,10.5,501.0,89.799,49.43
27.359,2.1,5.06,3.0,,,347.0,89.67,63.0
14.893291,9.494,100.11645,0.643,0.478,,804.0,88.13,23.87
31.393463,1.9,4.27,3.42,,,226.0,89.81,110.2
13.156969,9.1,61.0,0.445,,,753.0,88.48,22.5
3.2588321,13.339,232.0159,0.53,0.066,293.0,1171.0,86.656,10.51
9.21165,3.06,10.9,4.1,0.0,,1230.0,88.14,13.15
48.36685,11.276,246.00042,1.01,0.0,,676.0,89.37,43.5
2.225177,1.589,6.49,8.84,0.0,633.0,,85.26,7.7942
16.9841,2.63,24.5,7.4,0.04,67.0,795.0,88.4,25.9
13.1225,2.45,6.57,2.45,,,750.0,88.8,22.9
2.50387,1.66,3.39,4.07,,,1425.0,85.5,6.49
4.024867,10.054,106.47305,0.612,0.0,,852.0,89.3,13.76
10.054626,1.98,6.48,3.7,0.0,5.8,504.0,89.588,30.02
24.646582,1.56,2.14,2.98,0.0,1.77,374.0,89.905,54.57
44.55646,1.53,2.8,5.62,0.0,0.8,282.0,89.788,80.98
4.098503,11.646,184.02357,0.64,0.0,299.0,1092.0,86.92,12.34
3.38628,9.916,70.6,0.398,,,,88.44,7.94
1.25785,11.882,563.83042,1.85,0.0,1272.0,,79.9,6.05
3.1443189,0.95,0.809,5.18,,7.45,460.0,88.74,25.72
1.133,1.33,2.33,5.44,,,841.0,87.02,
5.26,1.83,4.01,3.6,,,423.0,89.31,
6.22,2.93,8.91,1.95,,,432.0,89.22,
7.01,1.66,3.39,4.07,,,456.0,89.38,
26.68,2.79,8.2,2.07,,,641.0,89.45,
8.991828,4.96,16.5,0.67,0.0,77.7,817.0,89.115,20.245164
20.66186,2.74,12.1,2.7,0.0,25.6,619.0,89.275,33.8
31.7142,3.27,10.3,1.38,0.0,14.5,537.0,89.345,46.0
4.34882,1.01,1.01,5.39,,,,,2.85
1.995,2.62,7.37,2.25,,,698.0,87.84,
2.298,1.95,4.46,3.31,,,701.0,88.94,
8.205,1.92,4.35,3.38,,,635.0,88.15,
24.93,2.1,5.06,3.0,,,318.0,89.88,
3.262,2.43,6.48,2.48,,,707.0,88.33,
6.93,2.2,5.48,2.83,,,423.0,89.37,
1.256,2.28,5.82,2.7,,,1114.0,85.63,
12.4551225,8.676,82.6358,0.694,0.0697,45.7,650.0,89.22,26.62
5.424865,5.04,1175.971,,0.0,,850.0,89.1,10.4
2.995633,13.96,539.67534,0.94,0.0,,1559.0,82.23,6.84
2.399964,1.32,2.3,5.5,0.13,211.0,979.0,88.98,10.53
5.608352,1.93,4.38,3.35,0.12,68.0,766.0,88.58,19.1
1.422614,1.43,3.9,7.2,0.0,529.0,1224.0,84.45,6.63
5.340888,3.2,7.8,1.3,0.0,90.0,788.0,86.917,16.01
4.44117,1.61,3.22,4.24,,213.3,974.0,87.28,11.4
6.42904,2.75,8.0,2.11,,130.3,861.0,87.37,13.5
14.09189,2.73,7.9,2.13,,45.7,663.0,88.34,26.2
4.01593,1.906,19.0698,17.5,,465.9,1184.0,87.28,10.1
10.56103,2.42,9.9,3.6,,128.3,858.0,88.61,26.2
4.60543,6.277,28.6047,0.5,0.0,1356.0,1670.0,80.39,3.41
10.003417,2.1,5.06,3.0,0.08,15.6,563.0,89.54,27.68
6.68796,2.15,5.27,2.91,,44.1,,,14.0
3.471149,4.51,18.5,1.11,0.07,49.0,939.0,89.6,8.0
2.198884,2.42,6.44,2.5,,,1094.0,89.26,5.9
5.657,2.433,6.5,2.48,,646.0,1211.0,87.993,9.377576
1.7292684,6.71,36.4,0.662,0.1,100.0,,87.75,7.67
19.1541,2.05,4.86,3.1,,119.0,889.0,88.649,18.822359
31.6372,1.89,4.23,3.44,,10.7,,,46.8
20.5065,2.24,5.65,2.76,,15.3,,,42.0
2.77065,1.93,4.38,3.35,,59.0,,,8.53
5.73594,1.91,4.31,3.4,,24.1,565.0,87.35,14.0
10.93241,2.26,5.73,2.73,,10.2,456.0,86.95,15.6
8.7529,1.59,3.15,4.31,,18.8,,,20.6
3.535055,18.0,45700.0,43.1,,1124.0,2004.0,86.46,5.2
12.20772,2.6,7.27,2.27,,52.5,665.0,89.32,26.3
9.7843,1.15,1.6,5.78,,6.1,,,
2.849258,3.82,14.0,1.38,0.07,115.0,,88.21,10.46
9.0063,2.1,5.06,3.0,,24.1,,,25.7
7.05254,2.68,7.65,2.18,,118.0,,88.855,23.9
2.53726,1.62,3.26,4.21,,462.0,,86.1,7.914045
22.8827,1.71,3.57,3.92,,24.6,,89.431,48.667611
20.6921,2.41,6.39,2.51,,17.1,,,63.0
11.2954,2.3,5.9,2.66,,38.3,,,44.0
30.94191,2.5,6.8,2.39,,28.6,615.0,89.42,50.27
3.00265,7.656,135.39558,1.7,0.0,1212.0,1400.0,88.49,7.78
2.57302,2.48,6.71,2.42,,1686.0,,85.996,6.24
6.67202,2.14,5.22,2.93,,66.0,,89.1,29.874248
16.1966,2.14,5.22,2.93,,20.5,,89.605,76.726395
20.257,3.22,10.5,1.73,,188.0,,,26.6
25.4556,3.9,14.5,1.34,,139.0,,,36.5
6.53044,2.07,4.94,3.06,,98.0,,,13.9
12.6475,1.58,3.12,4.35,,45.0,,89.148,28.897357
5.06963,2.49,21.3,7.8,0.0,840.0,1372.0,86.6,7.874
8.05428,1.58,3.12,4.35,,41.0,,88.715,19.902276
7.06599,2.32,5.99,2.64,,17.9,,,27.6
28.67992,2.67,7.61,2.2,,125.0,651.0,,40.29
13.97896,2.89,8.7,1.98,,62.0,,89.145,29.574869
6.98541,2.15,5.27,2.91,,13.4,,,
5.577212,1.08,1.28,5.58,0.11,8.5,,89.15,24.16
15.189034,1.16,1.65,5.81,0.11,2.2,,89.54,47.82
7.760178,1.01,1.01,5.39,0.11,5.4,,89.26,29.91
24.158868,1.29,2.21,5.66,0.11,1.2,,89.68,64.53
7.49543,2.45,6.57,2.45,,213.0,,88.443,15.108184
19.5666,2.31,5.95,2.65,,59.1,,88.92,26.134571
7.8142,2.67,7.61,2.2,,430.0,,87.413,10.3
18.311,2.77,8.1,2.09,,138.0,,88.796,21.419376
8.199796,2.3,603.877,,0.14,58.0,,88.7,23.2
10.99573,3.69,13.2,1.44,,186.0,,88.635,18.1
10.35239,3.58,12.5,1.5,,37.7,631.0,86.42,14.1
5.06416,2.41,6.39,2.51,,97.8,801.0,86.7,13.5
19.0918,2.01,4.7,3.18,,32.5,,88.994,29.258083
5.605,1.47,2.76,4.77,,166.0,,87.916,12.5
28.867253,2.552,7.04,2.33,,,,89.397,45.619404
6.102325,1.97,4.54,3.26,0.06,62.9,,89.29,19.77
2.74697,1.244,2.08,5.94,0.07,41.5,,88.72,12.59
9.99767,1.483,2.8,4.72,0.06,7.42,,89.51,29.67
6.4215,2.41,6.39,2.51,,178.0,,,15.7
27.86,2.03,4.78,3.14,,25.3,,,42.9
0.684533,1.01,1.01,5.39,0.24,479.0,,80.21,4.3
8.77683,1.96,4.5,3.28,,78.0,,88.56,5.76
9.726618,7.6,44.9,0.562,,85.0,979.0,87.74,14.4
4.6122,1.23,2.04,6.02,0.26,7.8,,87.75,19.98
1.096026,0.615,0.17,4.02,0.15,78.0,,85.77,7.36
18.4498,2.25,5.69,2.74,,1.36,314.0,87.983,26.3
13.733314,2.6,7.27,2.27,0.07,10.2,502.0,89.24,33.4
2.900706,1.3,2.24,5.6,0.19,80.8,,86.94,12.02
1.419549,1.1,1.37,5.66,0.09,46.0,,88.62,11.19
10.134016,3.88,14.3,1.35,0.16,,383.0,90.0,18.27
8.406726,10.61,152.5584,0.702,0.22,,1499.0,85.854,10.16
10.136448,5.2,32.2,2.15,0.0,,1092.0,89.0,15.09
18.251985,11.73,308.2951,1.05,0.19,,1113.0,87.7,12.01
1.217514,12.442,8654.15,24.7,0.0099,,,87.8,3.6
4.1662739,15.681,215.80657,0.308,,600.0,1377.0,88.61,9.34
4.7361,15.132,54.34893,0.093,0.0007,1433.0,1712.0,85.3,4.98
5.031623,19.952,301.9385,0.209,0.0,1749.0,1800.0,84.47,6.08
1.7100566,19.537,408.09372,0.322,0.0,,1970.0,78.3,4.248
3.32944,19.504,416.3573,0.36,0.0,,1642.0,88.3,6.7
0.9689951,15.861,874.0325,1.2,0.0,,2453.0,84.4,3.23
3.0801716,17.094,416.3573,0.46,,,2087.0,84.87,6.38
2.8717518,17.598,375.0394,0.377,0.0,3152.0,2085.0,88.86,5.138
4.6117093,21.409,1293.5681,0.744,,2340.0,1935.0,85.41,7.5
4.11379,15.132,540.311,0.91,0.0,,,88.6,6.48
3.4741085,19.515,1074.90106,0.806,0.0,4362.5,2262.0,86.12,7.42
3.6127647,17.777,1242.7153,1.24,0.0,2950.0,2051.0,86.46,6.86
2.255251,14.83,298.12454,0.503,0.0,991.18,1561.0,85.37,7.13
5.5514926,14.258,1646.3594,3.13,0.077,750.9,1459.0,89.17,9.95
2.70339,17.486,616.5902,0.75,0.0,,1816.0,84.14,6.0
2.9895932,19.044,286.68266,0.228,0.0,,1823.0,83.16,5.792
7.8457,14.572,165.2716,0.311,0.22,,1313.0,88.81,10.83
1276.0,13.0,1179.1493,2.95,0.21,,,,
2.73477,17.934,441.7837,0.442,0.0,,2048.0,83.76,5.5
3.24406,18.159,209.7678,0.167,0.04,,1675.0,82.65,5.9
1.4811235,21.196,915.3504,0.53,0.0,44900.0,4050.0,86.79,3.153
0.2197,,,,,,,,
0.32528,,,,,,,,
0.81161,,,,,,,,
854.083,5.5,25.9,0.855,,,,89.861,239.3
1322.3,6.9,38.1,0.637,,,,89.973,576.7
237.68977,12.6,2445.06619,6.72,0.0603,,,105.83,
440.7813,6.4,33.6,0.704,0.0,2.14,308.0,89.904,158.9
1320.1,6.6,35.4,0.677,,,,89.799,278.1
840.0,12.4,3750.394,10.8,0.15,,,,
31.8099,4.1,15.8,1.26,,,,89.3,34.7
75.2,2.4,6.35,2.52,,,,89.701,103.9
572.3847,4.6,19.2,1.08,0.0,3.36,264.0,89.768,153.5
,12.2,5700.0,17.2,,,,,
,13.1,1043.0,2.55,,,,,
,12.7,2200.0,5.9,,,,,
,12.9,1450.0,3.71,,,,,
,13.3,700.0,1.63,,,,,
,12.2,4923.0,14.9,,,,,
,13.0,1250.0,3.13,,,,,
,13.2,836.0,2.0,,,,,
,6.45,34.0,0.696,,,,,
,13.4,640.0,1.46,,,,,
,14.0,230.0,0.461,,,,,
,2.67,7.59,2.19,,,,,
,9.01,60.0,0.451,,,,,
,12.9,1400.0,3.58,,,,,
,12.9,111.0,0.284,,,,,
,3.19,10.28,1.74,,,,,
,13.7,397.0,0.848,,,,,
,14.1,200.0,0.392,,,,,
17.855182,13.787,349.613,0.733,0.34,196.51,911.0,88.95,19.9926
86.647661,10.54,460.83,2.1,0.772,7.28,511.0,89.66,167.911
1.763588,16.948,2949.4624,3.6,0.00064,25339.9,2550.0,86.77,4.5007
10.91647,3.438,9.5,1.29,0.05561,68.56,758.0,90.97,24.8
22.26492,14.0,214.1,0.429,0.05724,,,93.15,
20.4415,1.9,4.6,3.69,0.014,44.8,660.0,89.78,32.63
13.6088,1.9,9.0,7.21,0.0114,76.81,755.0,88.6,24.89
134.4628,8.86,71.0,0.56,0.0,5.7,412.0,89.441,94.8
284.215,5.44,15.0,0.51,0.0,2.49,321.0,89.65,143.36
3.90512,12.442,,,0.0,272.03,1046.0,89.8,11.897015
7.008151,1.31,2.27,5.55,0.0,316.44,1062.0,89.4,13.2
8.719375,1.19,1.81,5.9,0.0,236.31,987.0,89.68,16.0
59.73667,2.87,8.6,2.0,0.0,18.17,520.0,89.71,56.1
91.93913,2.66,7.56,2.21,0.0,10.23,450.0,89.79,74.7
124.9144,2.88,8.65,1.99,0.0,6.8,407.0,89.77,86.4
210.60697,8.1,254.264,,0.0,3.39,342.0,89.8,127.3
331.60059,11.3,381.396,,0.0,1.85,294.0,89.6,180.7
141.241671,11.097,613.4119,2.46,0.496,3.62,347.0,89.892,125.7
0.240104,0.759,0.44,5.53,,,,65.0,
0.342887,0.867,0.655,5.52,,,,65.0,
3.743208,1.71,10.5,10.1,0.25,1053.18,1486.0,89.3,7.25
10.423648,4.32,15.6,0.91,0.43,268.22,1012.0,88.36,14.3
22.342989,11.27,106.0,0.363,0.022,97.12,806.0,89.871,23.8
54.32031,6.56,35.0,0.6,0.019,29.7,584.0,89.76,43.1
1.706291,11.545,346.4347,1.31,0.0,729.0,1459.0,83.2,
121.54,2.54,7.0,2.35,0.23,,,,
0.837491,1.481,4.60853,8.0,0.06,3741.78,2130.0,85.1,3.47
45.2946,2.323,7.37,3.14,0.025,18.3,584.0,89.64,48.75
6.88705,1.32,7.34,14.25,0.13,478.21,1155.0,85.37,6.18
12.8159,2.2,7.05,,0.02,208.66,939.0,87.4,9.35
35.3331,1.61,3.0,,0.38,53.98,670.0,88.92,18.38
120.0181272,4.76,20.3,1.03,0.0,18.0,473.0,89.5,71.8
14.30511983,3.15,10.1,1.78,0.0,40.85,693.0,85.25,14.1
9.18186,1.578,3.11,4.35,0.0,98.61,804.0,79.49,5.32
4.33642933,1.71,3.57,3.92,0.0,981.68,1453.0,84.15,4.86
3.55485691,1.78,3.82,3.72,0.0,814.92,1157.0,88.47,13.104
5.28789787,6.28,32.5,0.721,0.0,1610.09,1661.0,83.69,3.9
6.49801525,1.5,2.86,4.66,0.0,301.33,1026.0,84.0,21.39
19.76172042,1.54,2.99,4.5,0.0,153.49,791.0,86.86,16.87
5.18500207,1.44,2.67,4.91,0.0,42.62,652.0,89.94,18.865
12.43931193,1.28,2.18,5.71,0.0,35.41,627.0,88.35,30.711
11.35011917,2.17,5.35,2.88,0.0,11.56,403.0,89.95,39.21
3.4876812,5.77,51.1,1.45,0.086,1240.33,1513.0,85.82,6.55
6.02976,1.25,3.78,10.5,0.0,596.07,1413.0,84.6,8.0
34.2685705,2.32,5.99,2.64,0.0,10.17,477.0,89.07,41.8
5.75322197,2.87,8.6,2.0,0.0,108.79,920.0,85.36,11.38
5.50860439,1.29,2.21,5.66,0.0,191.81,934.0,82.78,14.25
18.93054959,2.15,5.27,2.91,0.0,16.1,766.0,89.07,25.0
16.57110363,2.39,6.3,2.54,0.0,33.48,614.0,89.16,31.9
16.00494214,3.55,12.3,1.51,0.0,172.11,1040.0,89.96,19.14032
1.95452434,2.18,5.39,2.86,0.0,1445.2,1540.0,82.98,5.2
105.6551369,3.68,13.1,1.44,0.0,7.07,407.0,89.74,90.02
7.23400469,1.99,4.62,3.22,0.0,119.6,831.0,89.93,26.01
49.1013514,2.58,7.18,2.3,0.0,12.1,498.0,89.43,46.0
1.41122985,1.46,2.73,4.82,0.0,330.25,1164.0,78.73,4.6
5.28696,0.47,4.3,,0.0,90.33,792.0,86.41,10.3
7.07142,0.58,3.0,,0.0,61.32,719.0,87.48,19.718
10.3117,1.18,3.8,13.27,0.0,37.04,634.0,87.5,16.0
16.1457,2.22,8.93,4.68,0.0,20.39,546.0,88.17,21.6
27.4536,0.88,5.2,,0.0,10.05,457.0,88.82,59.57
96.9151496,2.28,5.82,2.7,0.0,2.34,325.0,89.71,120.8
13.47469571,2.33,6.04,2.62,0.0,50.37,634.0,89.96,40.56
10.99469878,2.36,6.17,2.58,0.0,19.26,512.0,89.71,27.9
62.1387714,2.63,7.41,2.24,0.0,6.98,524.0,89.52,111.6
66.4162133,3.91,14.5,1.33,0.0,5.45,376.0,89.7,76.06
37.3229493,1.98,4.58,3.24,0.0,17.95,1654.0,88.92,40.53
36.5156053,2.21,5.52,2.81,0.0,5.99,425.0,89.11,67.3
1.9078052,0.89,0.64,4.99,0.0,1162.51,1268.0,86.74,7.958
2.51462432,1.33,2.33,5.44,0.0,519.64,1217.0,88.78,6.0
4.41769648,1.26,2.13,5.85,0.0,92.16,790.0,78.17,17.77
15.9654,3.37,9.7,1.38,0.03,150.54,872.0,88.11,27.471
179.612,5.14,36.1,1.47,0.02,5.97,389.0,89.46,84.3
19.32952416,2.48,6.71,2.42,0.0,16.88,529.0,89.99,39.98
1.22621732,0.87,0.59,4.92,0.0,3973.86,2024.0,89.93,4.388
3.29011795,1.87,4.16,3.5,0.0,176.14,802.0,89.3,16.42
7.56052806,2.51,6.85,2.38,0.0,159.42,914.0,89.92,15.332
12.12400943,2.26,5.73,2.73,0.0,36.79,675.0,89.94,28.683
2.71407755,1.17,1.71,5.87,0.0,1180.06,1301.0,84.01,16.55
122.8808058,3.01,9.32,1.88,0.0,2.82,326.0,89.24,58.0
1.06378867,1.28,2.18,5.71,0.0,1015.43,1650.0,86.11,7.62
148.4603382,3.53,12.2,1.52,0.0,1.51,285.0,89.66,131.0
0.93488424,1.46,2.73,4.82,0.0,668.13,2080.0,78.54,3.9
11.427548,3.1,19.6,3.62,0.0,119.91,852.0,87.76,19.407
23.668205,3.13,9.96,1.78,0.0,45.44,668.0,87.95,26.8
51.755394,3.58,12.5,1.5,0.0,16.01,515.0,89.14,45.2
201.1214,2.08,4.98,3.04,0.0,2.12,300.0,90.0,152.01
24.7576421,2.94,8.96,1.94,0.0,117.96,644.0,86.17,14.92
10.13202575,2.19,5.43,2.84,0.0,25.66,574.0,89.93,25.09
38.5053398,2.55,7.04,2.33,0.0,21.69,532.0,89.04,39.1
6.77408868,2.67,7.61,2.2,0.0,218.5,1058.0,89.92,6.48
26.41045478,2.69,7.7,2.17,0.0,19.13,512.0,89.25,69.2
14.37508035,1.71,3.57,3.92,0.0,90.16,786.0,86.3,36.52
56.1886887,2.09,5.02,3.02,0.0,28.85,503.0,88.56,32.4
3.18897601,0.99,0.937,5.31,0.0,1323.07,1309.0,86.09,9.8354
6.92101021,1.61,3.22,4.24,0.0,96.98,619.0,84.6,12.718
3.27346074,0.95,0.809,5.18,0.0,50.43,625.0,88.1,8.5
5.4122,4.81,5.1,0.252,0.47,341.81,1418.0,85.94,8.9
7.1262,1.31,4.6,11.2,0.0,161.0,997.0,84.02,19.27
15.3787546,1.6,3.19,4.28,0.0,62.02,1039.0,89.14,22.2
21.1284569,1.48,2.79,4.73,0.0,40.64,935.0,89.48,42.54
25.96200249,3.4,11.5,1.61,0.0,87.46,850.0,89.96,32.16
34.8538276,2.93,8.91,1.95,0.0,20.98,522.0,89.37,51.0
2.41435165,0.98,0.904,5.28,0.0,139.82,953.0,89.12,14.36
4.30655689,2.63,7.41,2.24,0.0,760.52,1177.0,77.07,6.8
2.29503623,1.23,2.04,6.02,0.0,647.26,1304.0,89.14,10.71
27.495606,3.01,9.32,1.88,0.0,56.91,590.0,88.87,26.9
14.08827448,3.36,11.2,1.62,0.0,69.21,724.0,89.71,26.2
110.96546,2.72,7.85,2.14,0.0,0.77,239.0,89.14,37.0
3.76419105,1.73,3.64,3.86,0.0,174.07,908.0,88.83,14.08
6.16486,0.82,5.3,,0.0,277.22,1021.0,86.69,11.19
13.5708,2.5,10.44,3.28,0.0,96.91,785.0,87.07,32.883
23.9802,0.95,8.1,,0.0,45.36,649.0,85.45,11.98
43.8445,2.56,11.17,3.1,0.0,20.29,531.0,88.27,28.2
46.8779367,2.38,6.26,2.55,0.0,17.42,484.0,87.75,30.7
2.75798267,1.98,4.58,3.24,0.0,788.5,1332.0,80.18,3.33
9.30412078,1.76,3.75,3.78,0.0,33.76,583.0,89.16,37.55
14.07971466,1.49,2.83,4.7,0.0,54.93,931.0,89.53,81.47
16.54080322,1.55,3.02,4.46,0.0,24.87,570.0,88.92,50.54
3.60930891,3.73,13.4,1.42,0.0,419.91,1092.0,88.42,15.46
2.37030743,1.6,3.19,4.28,0.0,734.62,1256.0,89.98,9.23
1.93155984,2.36,6.17,2.58,0.0,710.02,1290.0,80.37,6.0
0.76212926,0.8,0.437,4.69,0.0,2761.76,1872.0,84.88,4.47
16.92344113,3.63,12.8,1.47,0.0,55.93,702.0,88.93,32.879
23.8990296,1.6,3.19,4.28,0.0,78.17,823.0,89.24,11.503
3.1800218,1.536,3.51,5.3,0.0,1175.38,1593.0,89.05,2.74
4.901452,1.597,9.39,12.65,0.0,659.65,1379.0,89.49,3.65
7.95839,0.86,3.8,33.1,0.0,346.11,1173.0,87.55,5.05
14.749143,2.903,8.6,2.0,0.0,151.94,955.0,89.67,7.62
6.2216147,1.73,3.64,3.86,0.0,380.13,1101.0,83.97,14.619
6.1799844,2.38,6.26,2.55,0.0,45.12,814.0,89.56,22.6
1.5690665,1.58,3.12,4.35,0.0,2944.0,1849.0,88.73,4.379
8.67888593,2.3,5.9,2.66,0.0,128.55,905.0,89.38,19.452
4.02582254,1.64,3.33,4.15,0.0,357.08,1169.0,89.92,11.29
5.94566534,1.25,2.1,5.91,0.0,27.57,568.0,89.37,20.87
1.52372816,1.42,2.6,4.99,0.0,143.97,818.0,73.31,3.28
6.14727918,0.8,0.437,4.69,0.0,83.18,770.0,89.36,16.86
34.3511874,2.77,8.1,2.09,0.0,26.93,576.0,88.39,31.2
3.00725242,1.9,4.27,3.42,0.0,373.99,1122.0,70.4,3.76
13.24503188,1.63,3.29,4.17,0.0,195.35,887.0,88.59,23.371
49.183921,8.65,56.0,0.475,0.22,47.4,669.0,89.94,28.73
190.323494,8.18,50.9,0.511,0.04,7.8,426.0,89.24,70.81
77.2548396,3.28,10.8,1.68,0.0,55.45,548.0,88.6,23.8
3.85691855,1.01,1.01,5.39,0.0,225.22,972.0,87.9,14.932
1.5432066,1.12,1.46,5.71,0.0,2949.56,1827.0,87.26,4.546
33.4177993,3.36,11.2,1.62,0.0,10.15,448.0,88.08,27.2
2.05333679,1.11,1.41,5.67,0.0,1766.59,1737.0,61.5,2.03
219.3217528,7.22,41.2,0.602,0.0,2.06,313.0,89.9,138.6
56.7771,3.268,10.7,1.68,0.0,13.74,491.0,89.15,65.1
18.78425728,2.44,6.53,2.47,0.0,9.16,433.0,88.97,36.6
161.5163345,2.94,8.96,1.94,0.0,0.52,211.0,90.0,196.22
0.69384285,0.61,0.165,3.99,0.0,3496.49,2161.0,86.59,3.5477
23.12748644,1.42,2.6,4.99,0.0,44.89,667.0,88.31,33.5
5.13248562,1.83,4.01,3.6,0.0,26.27,584.0,89.54,27.0
6.48163,2.37,7.3,,0.21,432.33,1145.0,83.8,13.655
21.2227,2.52,21.8,,0.03,88.92,771.0,89.96,25.344
198.680179,2.25,5.69,2.74,0.0,1.82,297.0,89.67,177.3
1.43474156,1.46,2.73,4.82,0.0,1740.86,1664.0,88.96,5.958
58.6017925,2.07,4.94,3.06,0.0,17.02,508.0,89.71,80.0
25.0824626,1.95,4.46,3.31,0.0,85.76,776.0,86.89,30.38
89.722292,1.96,4.5,3.28,0.0,15.69,508.0,89.02,52.8
78.1000231,3.18,10.2,1.74,0.0,10.34,480.0,89.51,40.1
4.27103091,1.21,1.92,5.96,0.0,356.54,1108.0,89.92,14.542
2.89221751,1.24,2.07,5.97,0.0,124.87,794.0,85.46,14.55
187.747029,3.26,10.7,1.7,0.0,1.3,267.0,90.0,252.45
2.54307286,1.3,2.24,5.6,0.0,995.67,1319.0,88.18,7.166
2.16845259,2.83,8.4,2.04,0.0,766.34,1558.0,88.96,4.0
10.3039,1.8,1.9,1.72,0.045,146.36,849.0,89.64,18.55
13.0241,2.87,2.9,0.66,0.026,107.22,786.0,89.59,21.69
22.6845,3.12,7.3,1.28,0.004,51.12,653.0,89.67,31.39
31.9996,4.19,8.0,0.58,0.012,32.34,582.0,88.89,39.48
46.6888,2.49,2.0,0.69,0.013,19.53,513.0,89.47,50.79
118.3807,3.33,25.0,4.0,0.15,5.65,376.0,89.87,94.4
12.691112,1.83,4.01,3.6,0.0,153.88,1008.0,89.98,25.931
31.719775,2.21,5.52,2.81,0.0,45.34,743.0,89.86,20.2
6.42200058,1.75,3.71,3.8,0.0,238.51,1000.0,89.11,18.39
81.3151059,2.47,6.66,2.43,0.0,3.58,393.0,89.99,109.53
51.3285623,2.66,7.56,2.21,0.0,22.98,546.0,89.06,24.0
19.79191978,2.27,5.77,2.71,0.0,160.28,736.0,86.29,47.7
5.03728015,1.23,2.04,6.02,0.0,813.52,1321.0,80.72,20.32
4.42157218,2.01,4.7,3.18,0.0,47.18,729.0,84.34,8.81
1.25275217,1.65,3.36,4.11,0.0,2399.97,2199.0,84.54,4.708
0.57103852,1.34,2.36,5.39,0.0,2387.26,1897.0,66.6,4.2845
