pl_orbper,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_ratdor
6.6732,1.41,2.58,5.06,0.14,,854.0,,
10220.0,12.7,1995.88832,5.35,0.39,,,,
8.138268,5.7,413.179,,0.0,145.1,850.0,89.5,20.35
6.7987,1.047,1.15,5.51,0.0,,,89.002,
28.1656,1.87,4.16,3.5,,,,,61.5
2.13174,0.692,0.26,4.31,,,,,
3.80464,1.22,1.98,5.99,,,,,
2.71578,1.03,1.08,5.43,,,,,
2.0478,0.908,0.688,5.05,0.0,,,89.276,
3.96151,1.0,0.972,5.34,,,,,12.4
4.1698,1.04,1.12,5.47,,,,89.001,11.5
8.050722,1.31,2.27,5.55,,,961.0,89.81,16.18
4.50756,1.7,3.53,3.95,,,,,13.9
2.87814,1.01,1.01,5.39,,,,,
5.29711,1.62,3.26,4.21,,,,,10.1
2.25372,0.9,0.666,5.02,,,,,16.0
1.58252,0.96,0.84,5.22,,,,,6.1
21.169861,1.98,4.58,3.24,0.06,3.5,,89.73,48.67
19.49221,5.76,27.0,0.65,0.0,,817.0,87.9,35.63
2.28943,1.323,2.31,5.48,,,,,9.3
18.0983,2.17,5.35,2.88,,,,,27.9
34.885,1.6,3.19,4.28,,,,,
15.2841,1.12,1.46,5.71,,,,,28.9
13.603,2.586,7.2,2.29,0.2,,536.0,89.071,31.994
65.55,2.69,7.7,2.17,0.2,,316.0,89.63,91.172
0.70531,1.48,2.79,4.73,,,,,2.84
0.571331,1.82,7.72,8.5,0.0,4293.0,2119.0,86.4,2.72
13.339079,2.73,5.8,2.0,0.18,64.0,741.0,89.35,27.66
6.180235,11.781,953.49,3.1,,642.0,1401.0,86.21,9.8
3650.0,12.442,4131.79,,0.0,0.19,183.0,89.87,
3.5951,1.95,8.75,6.39,0.06,1037.0,1616.0,86.14,5.93
15.624,3.67,14.67,1.62,0.07,160.0,990.0,87.94,15.79
35.747,3.94,10.18,0.91,0.15,53.0,752.0,89.47,27.42
,12.2,5085.28,15.4,,,2375.0,,
5.746007,2.025,4.76,3.15,0.0,7.2,456.0,88.57,27.0
3.204,1.1,1.37,5.66,0.31,3.8,,,
6.689,1.18,1.74,5.82,0.29,1.4,,,
13.031,1.16,1.64,5.77,0.53,0.6,,,
1.628931,1.13,1.66,6.3,0.22,,529.0,86.58,16.0
8.929,1.43,2.64,4.96,0.27,,300.0,,
41.38,11.9,96.7,0.315,0.38,,,,
532.58,9.71,68.06,0.409,0.342,,,,
2.018,1.39,2.5,5.12,0.0,,,,18.5
1.58040456,2.847,6.26125,1.49,0.0,,547.0,88.17,14.0
0.5182349,1.193,2.09,6.76,0.0,,1089.0,85.0,
3.6511,2.63,7.4,2.24,0.04,,,,
35.61253,2.61,22.7,7.0,0.188,4.12,422.0,89.33,60.1
11.4407,1.55,3.03,4.47,0.094,,550.0,,
7600.0,6.67,36.0,0.667,0.27,,,,
5.2354,3.17,10.2,1.76,0.06,,,,
8.63182,3.25,10.6,1.7,0.073,,,,
25.63058,2.5,6.8,2.39,0.099,,,,
603.95116,5.92,29.4,0.779,0.373,,,,
2288.0,13.9,260.61,0.533,0.21,,,,
17.133,2.43,6.49,2.49,0.07,,,,
24.329,2.41,6.4,2.51,0.09,,,,
106.3,2.66,7.56,2.21,0.14,,,,
69.971,4.17,16.2,1.23,0.72,,,,
121.995,2.6,7.268,2.27,0.19,,,,
526.115,2.85,8.478,2.01,0.1,,,,
14.238,1.83,4.0,3.59,0.1,2.53,351.0,,
15.819,3.66,13.0,1.46,0.08,,,,
18.6498,1.51,2.89,4.61,0.1,1.06,,,
4.7234,1.06,1.18,5.44,0.17,6.66,,,
133.71,13.1,1071.04,2.62,0.511,,350.0,,
11.949,2.79,8.2,2.07,0.22,,,,
1.22003,1.18,1.78,5.95,0.19,118.1,,,
5.974,1.88,4.18,3.46,0.11,13.9,,,
257.8,3.23,10.5,1.71,0.32,0.1,,,
695.66,13.3,794.5,1.86,0.07,,,45.0,
6739.323,13.5,522.5,1.17,0.17,,,,
4100.0,13.3,731.0,1.71,0.37,,,,
30.5987,5.19,23.54,0.925,0.06,1.07,,,
122.6196,4.87,21.09,1.0,0.11,0.17,,,
48.1345,2.67,7.6,2.19,0.12,0.59,,,
13.2543,1.63,3.28,4.16,0.21,3.34,,,
5.3636,1.23,2.02,5.96,0.23,2.58,,,
40.54,1.32,2.31,5.52,0.17,0.17,,,
14.207,2.46,6.6,2.44,0.31,,,,
24.45,3.19,10.27,1.74,0.11,,391.0,,
3.3366496,4.57,13.9,0.8,0.017,,594.0,89.13,13.98
1.1980035,1.264,1.86,5.03,0.0,59.4,773.0,87.95,9.39
15.509,2.63,7.41,2.24,0.0,1.95,329.0,,
203.59,14.3,147.15529,0.277,0.4356,,,,
3.93072,1.217,1.84,5.6,,12.6,525.0,89.12,22.31
9.1247,1.66,3.4,4.08,,4.45,401.0,,
55.661,2.34,6.1,2.62,,0.38,220.0,,
2.64561,2.83,8.4,2.04,0.08,,,59.0,
3.0232,2.75,8.0,2.11,0.07,,,,
6.905,2.57,7.14,2.31,0.121,,590.0,,
2.64977,1.38,2.47,5.16,0.0,,,,
13.74,2.38,6.26,2.55,0.049,,,,
12.946,1.45,2.69,4.85,0.12,3.13,370.0,,
50.8,2.63,7.6,2.3,0.45,,309.0,,
749.83,8.4,53.83,0.499,0.105,,125.0,,
20.129,3.33,11.07,1.65,0.11,,,,
13.352,4.22,16.57,1.21,0.37,,,,
7.3705,2.33,6.043,2.63,0.04,,,,
5094.105,6.27,32.422,0.723,0.12,,,,
36.059,2.14,5.223,2.93,0.07,,,,
2.64388312,4.17,22.1,1.8,0.13827,,686.0,86.44,13.73
9.567,3.69,13.2,1.44,0.1,,,,
1.467119,1.305,2.82,7.0,0.05,40.3,701.0,88.4,
,13.0,1271.3,3.18,,,510.0,,
8.7076,2.17,5.36,2.88,0.08,,,,
5.3686,4.11,15.8,1.25,0.0,,,,
12.914,2.21,5.5,2.8,0.0,,,,
3.149,1.17,1.7,5.83,0.0,,,,
14.628,1.49,2.82,4.68,0.13,,,,
598.3,12.5,104.244,0.293,0.3,,,,
7.2004,2.23,5.6,2.77,0.13,,,,
28.14,1.77,3.8,3.77,0.02,,,,
62.24,1.45,2.7,4.87,0.02,,,,
39.026,1.45,2.7,4.87,0.03,,,,
256.2,1.99,4.6,3.21,0.08,,,,
4.6938,3.33,11.09,1.65,0.2,,,,
1056.80005,12.7,2129.461,5.71,0.33,,,45.0,
7337.0,12.7,2161.244,5.8,,,,,
3.6005,1.93,4.4,3.36,0.262,,,,
35.39,2.77,8.1,2.09,0.125,,,,
17.478,1.93,4.4,3.36,0.08,,,,
57.32,2.89,8.7,1.98,0.1,,,,
24.16,2.95,9.0,1.93,0.0,,,,
38.142,4.32,17.2,1.17,0.17,,,,
727.562,4.14,16.0,1.24,0.4,,,,
2.37756,1.53,2.96,4.54,0.24,79.0,829.0,,
3657.0,14.0,216.0,0.433,0.08,,,,
35.68,2.18,5.4,2.86,0.18,,,,
1882.0,13.8,317.83,0.665,0.04,,,,
15.76491,12.9,1404.8086,3.6,0.04,,,,
61.1166,13.3,723.2235,1.69,0.0324,,,59.0,
30.0881,14.0,226.9846,0.455,0.25591,,,59.0,
1.93778,2.51,6.83,2.37,0.207,,,59.0,
