st_spectype,st_teff,st_rad,st_mass,st_lum,st_logg,st_age,st_dens,st_vsin,sy_gaiamag
G3 V,5939.0,1.14,1.1,0.014,4.36,3.3,1.027,4.0,13.7305
G0 V,5900.0,1.61,1.14,0.087,4.3,7.2,0.5,9.0,15.0681
K1 V,4950.0,0.86,0.91,-0.601,4.55,11.0,1.94863,2.0,15.1801
F9,6040.0,1.19,1.09,0.141,4.31,4.5,0.64637,4.3,14.711
G5,5590.0,1.79,1.09,0.451,3.99,8.6,,2.0,15.4682
G2,5900.0,1.08,1.05,-0.166,4.4,4.21,1.24,4.0,15.3902
G8/9 IV,5150.0,1.78,1.01,0.388,3.6,12.0,0.27,3.0,13.4119
K0 V,5260.0,0.9,0.97,-0.094,4.3,4.5,1.825,3.5,15.2394
F3 V,6740.0,1.56,1.37,0.391,4.22,2.2,0.431,17.0,13.2188
G3 V,5650.0,0.91,0.98,-0.197,4.4,3.0,1.54162,4.3,15.413
G2 IV,5700.0,2.15,1.25,0.398,3.85,4.7,0.1518,2.8,15.4655
,6190.0,1.17,1.16,0.185,4.41,1.0,1.11,6.4,13.5613
F9 V,6100.0,1.19,1.0,0.18,4.19,6.9,1.01,1.0,13.9021
F9 V,6090.0,1.02,1.05,0.026,4.43,2.5,1.31,7.6,13.7459
G9 V,5275.0,0.83,0.82,-0.289,4.5,1.75,2.0,3.5,11.5239
G9 V,5256.0,0.86,0.9,-0.289,4.52,1.75,1.96324,3.5,11.5239
K1 V,5080.0,0.77,0.88,-0.4,4.58,3.0,2.7,2.0,14.2195
G3 V,5625.0,0.96,0.96,-0.254,4.54,6.0,1.51,3.5,13.5008
G0 VI,5970.0,0.79,1.08,-0.155,4.67,,1.57283,3.2,13.5867
,3579.0,0.42,0.51,-1.574,4.8,,7.71066,,11.9752
L1.5,,,0.07,,,1.0,,,18.5577
M0.5,4371.0,0.27,0.33,-0.212,4.0,0.001,0.37705,,12.4961
F8 V,6196.0,1.26,1.21,0.32,4.41,2.01,0.81281,3.41,7.85032
F5 V,6500.0,1.78,1.44,0.104,4.1,2.0,0.24354,5.1,8.45824
K0 V,5138.0,0.91,0.87,-0.293,4.3,10.9,,1.97,8.854298
,13500.0,0.01,0.69,-2.4,,,,,18.6333
G6 V,5428.0,0.96,1.01,-0.14,4.6,0.045,2.4,17.8,8.31926
,3648.0,0.28,0.29,-1.9,5.0,,,,16.4386
,3587.0,0.37,0.41,-1.508,4.78,,6.73294,,15.2612
,4991.0,0.55,0.78,-0.766,4.63,,3.22926,,13.7368
,5942.5,1.6,1.07,0.458,4.09,,0.42293,,11.9456
K3 V,4761.0,0.54,0.67,-0.761,4.63,,2.95996,2.0,14.3234
,4520.0,0.66,0.73,-0.364,4.66,,,,
,4292.67,0.63,0.61,-0.874,4.74,,2.55179,,14.2575
,5053.0,0.63,0.8,-0.635,4.59,,2.65207,,14.5885
,5502.7,0.83,0.88,-0.176,4.39,,1.2704,,12.0976
,5759.0,0.82,0.93,-0.17,4.59,,2.3828,,12.9682
,3489.0,0.37,0.22,-1.73,4.85,,9.77858,,16.0689
,4055.0,0.67,0.56,-0.98,4.58,,2.90458,,15.9752
,3467.0,0.37,0.41,-2.088,4.99,,19.87982,,16.1722
,4864.0,0.67,0.71,-0.593,4.57,,2.51975,,13.774
M0,4148.21,0.57,0.66,-1.153,4.65,0.79,3.87972,2.6,14.5263
G0,6069.0,1.39,1.17,0.373,4.22,3.99,2.253,4.0,10.0512
,4987.49,0.75,0.83,-0.505,4.58,,2.50384,,14.1864
,5782.33,1.22,1.11,0.179,4.3,,0.84195,,13.2026
,4982.79,0.76,0.91,-0.497,4.61,,2.81669,,13.3118
,5864.75,0.98,0.95,0.006,4.54,,1.85888,,12.2038
