st_spectype,st_teff,st_rad,st_mass,st_lum,st_logg,st_age,st_dens,st_vsin,sy_gaiamag
K7V,4010.0,0.6,0.62,-1.034,4.62,,3.27404,,9.37826
M0.5 Ve,4015.5,0.6,0.58,-1.156,4.66,,3.90213,,8.22861
,4962.0,0.75,0.78,-0.959,4.37,6.0,2.56445,,9.80235
,4813.0,0.75,0.78,-0.561,4.58,6.0,2.56445,,9.80235
K5 V,4021.0,0.56,0.57,-1.222,4.68,,4.36601,,9.64076
K4 V,4510.0,0.78,0.29,0.19,4.11,7.87,1.96681,0.5,8.57069
K4 V,4640.0,0.68,0.73,0.19,4.71,7.87,1.96681,0.5,8.57069
G8,4830.0,10.28,1.54,1.63,2.53,,,3.7,6.56453
K4 V,4590.0,0.72,0.78,-0.678,4.61,4.1,2.898,2.5,10.5895
K0,5460.0,0.95,0.93,-0.186,4.47,,1.57198,2.8,9.15101
A2 V,8840.0,1.77,1.96,1.269,4.32,0.014,0.62073,299.0,6.98273
K0 III,5000.0,8.93,2.5,1.65,2.9,,,2.5,6.48224
G1 V,5675.0,1.38,1.22,0.243,4.2,0.017,0.65,54.2,9.63261
K1 III,4985.0,8.69,2.41,1.617,2.85,,,2.3,6.17087
K0 III,4890.0,5.92,1.63,1.244,3.15,,,1.8,5.89329
K7 V,4105.0,0.63,0.63,-1.048,4.62,3.0,3.41279,1.93,9.69796
M1,4146.0,0.68,0.66,-0.908,4.54,,2.52341,,9.95835
K1 III,4850.0,5.77,1.74,1.215,3.1,,,2.2,6.75234
B9 V,10500.0,2.11,2.5,1.368,4.13,0.005,0.32956,144.74,7.14665
B9 V,9193.75,,3.75,,,0.01,,,5.83871
M3 V,3420.0,0.48,0.48,-1.549,4.76,,6.12742,,10.2351
K2 III/IV,4670.0,7.83,1.17,1.405,2.7,,,1.3,7.56075
G5 V,5519.0,0.89,0.97,-0.222,4.53,2.4,1.91925,3.5,8.45032
K0,5020.0,5.34,1.93,1.204,3.26,,,2.2,7.07025
G0V,5927.14,1.01,1.08,0.055,4.46,3.1,1.47538,8.73,5.82363
F5 V,6785.0,1.47,1.3,0.531,4.4,0.6,0.70259,43.51,5.99741
G0 V,5794.0,1.53,1.07,0.397,4.02,7.7,0.43147,3.0,6.17464
G0V,6167.0,1.13,1.34,0.253,4.46,2.72,1.0501,6.5,5.25587
F6 V,6201.0,1.31,1.15,0.371,4.26,,0.717,8.3,6.25276
A5,7204.58,1.49,1.61,0.733,4.3,0.03,0.68153,34.79,5.90914
A5,7400.0,1.49,1.51,0.733,4.0,0.03,0.68153,34.79,5.90914
,5952.0,,0.88,,,,,,16.4718
,8868.67,,0.48,,,,,,10.6098
,4740.1,10.27,2.1,1.636,2.52,1.14,,,10.5336
F9,5620.0,0.98,0.92,-0.101,4.5,,1.38,3.0,12.2156
G0 V,6168.0,1.22,1.23,0.25,4.35,0.79,3.217,14.8,10.4053
K3,4819.0,0.73,0.8,-0.595,4.51,0.79,2.92,3.9,12.6619
K5,4695.0,0.71,0.77,-0.657,4.53,0.79,3.03,3.0,12.8466
M2.5e,3546.46,0.49,0.43,-1.434,4.74,0.79,5.56106,2.6,15.3955
K1,5464.0,0.91,0.99,-0.189,4.51,0.6,1.541,1.76,11.7124
F9 IV,6061.0,1.81,1.3,0.464,4.04,4.25,0.457,4.6,12.7669
,5599.0,1.76,1.17,0.405,4.02,7.8,0.806,2.0,12.1704
G8,5433.0,5.15,1.35,-0.31,4.56,,2.11399,,13.1501
K3 V,4950.0,0.71,0.75,-0.567,4.61,8.0,3.515,,11.6627
G2,5775.0,1.25,0.84,0.279,4.25,12.3,0.6,1.1,10.9294
G2,5775.0,1.25,0.84,0.119,4.25,12.3,0.6,1.1,10.9294
G,5660.0,1.24,1.04,0.009,4.27,5.9,0.987,2.06,13.5039
,5044.0,0.84,0.89,-0.395,4.54,9.9,1.655,,14.2751
G4,5657.0,0.88,0.95,-0.145,4.53,10.7,2.663,,13.2
,4348.35,0.67,0.69,-0.734,4.64,,2.18936,,10.3281
M1.0 V,3778.0,0.51,0.54,-1.357,4.75,,5.297,,13.8012
,4726.29,0.73,0.76,-0.526,4.53,,2.22691,,13.7484
,4740.0,0.71,0.76,-0.685,4.62,,2.251,,14.5103
F9,5800.0,1.01,1.01,0.072,4.3,,0.84625,,12.0884
,4349.9,0.67,0.69,-0.664,,,,,13.9329138
,4551.0,0.68,0.72,-0.745,4.63,,6.532,,12.9247
M0,4027.0,0.6,0.62,-1.102,4.68,,6.939,,12.3708
,4035.0,0.59,0.62,-1.143,4.69,,4.511,,14.0916
,3570.0,0.39,0.39,-1.659,4.86,,9.58,,15.4618
,3654.47,0.4,0.49,-1.641,4.83,,8.77693,,15.1508
,4339.0,0.65,0.69,-0.878,4.66,,2.903,,12.4013
,4575.0,0.66,0.72,-0.254,4.65,,2.211,,14.7871
,4469.51,0.78,0.71,-0.766,4.7,,3.00478,,12.2204
,3459.09,0.36,0.36,-1.828,4.87,,10.66281,,12.4624
G3,5698.0,0.78,0.8,-0.135,4.33,,1.72012,,12.739
,4356.47,0.74,0.7,-0.776,4.62,,2.72247,,12.3253
,5245.0,0.75,0.84,-0.448,4.61,,2.71,4.3,11.8999
,4840.0,3.85,1.08,0.943,3.3,8.5,0.0264,3.36,11.64
M1.5 V,3655.0,0.46,0.46,-1.479,4.77,,6.6302,,13.3245
K5.5,4499.0,0.66,0.74,-0.788,4.66,0.688,3.52,3.0,10.8545
M3 V,3492.0,0.44,0.46,-1.484,4.82,,13.0,,14.4345
G8 V,5356.3,0.86,0.94,-0.287,4.54,2.8,2.064,2.7,12.0252
K0 V,5370.0,0.88,0.96,-0.299,4.54,1.8,2.477,2.8,11.4626
M0,3789.0,0.45,0.47,-1.031,4.61,,3.2418,,15.5348
G5,5705.0,0.99,1.0,-0.049,4.45,4.22,1.477,3.8,12.4814
K7 V,4599.0,0.68,0.71,-0.75,4.62,6.3,3.164,3.0,10.7217
M3.0 V,3385.0,0.33,0.33,-1.824,4.9,5.0,13.1,,14.9834
,3672.0,0.55,0.58,-1.292,4.72,,4.2353,,13.1913
,4079.0,0.63,0.65,-0.996,4.65,,2.94262,,13.0599
M1.0 V,3745.0,0.57,0.59,-1.31,4.71,,3.93217,,13.7795
G8,5131.0,0.68,0.72,-0.453,4.57,,1.89114,,14.4237
M2.5 V,3499.0,0.44,0.46,-1.585,4.82,,8.03564,,14.815
M1.5 V,3695.0,0.45,0.47,-1.553,4.8,,6.736,,13.3119
M0.0 V,4044.0,0.61,0.63,-1.06,4.67,,3.49448,,13.0383
M3.0 V,3845.0,0.53,0.55,-1.367,4.73,,4.87969,,14.2706
M0.0 V,4097.0,0.63,0.65,-1.018,4.65,,3.24997,,13.3173
K7,4258.0,0.58,0.65,-1.229,4.6,,5.41,,12.2528
,4597.0,0.66,0.66,-0.798,4.62,,2.68452,1.8,12.9484
,5456.0,0.88,0.94,-0.21,4.55,,1.67926,,12.6419
,5503.0,0.95,0.92,-0.157,4.45,,1.57526,,11.6134
,5425.0,0.83,0.9,-0.289,4.56,,2.7842,,11.6397
K3 V,4742.0,0.66,0.68,-0.761,4.51,,2.95996,2.0,14.3234
,5649.0,0.91,0.98,-0.137,4.61,,1.93062,,12.542
,4972.0,2.57,0.99,0.919,3.63,,,,12.3574
,4842.0,0.69,0.75,-0.61,4.63,,1.97721,,11.9662
,4937.0,0.76,0.83,-0.541,4.71,,2.30261,,12.8062
,5791.0,2.2,1.18,0.59,3.81,,0.22794,,11.0942
,5185.0,0.8,0.83,-0.37,4.46,,2.08241,,11.3272
,5960.0,1.61,1.16,0.462,4.09,,0.42293,,11.9456
F7 V,5908.0,1.83,1.02,0.442,3.88,,0.51347,,8.103581
,5502.7,0.83,0.88,-0.176,4.46,,1.2704,,12.0976
,5548.0,0.92,0.99,-0.161,4.56,,1.49832,,12.0063
K7,4320.0,0.66,0.71,-0.91,4.8,,2.41242,,13.0023
,5748.0,0.98,0.96,0.072,4.34,,1.26996,,12.4959
,5250.0,1.72,0.89,0.516,3.95,,,,12.4386
,5569.0,0.87,0.93,-0.232,4.61,,2.1811,,12.2809
,5569.0,0.87,0.93,-0.202,4.61,,2.1811,,12.2809
,5580.0,0.84,0.88,-0.06,4.52,,1.38095,,12.1848
,4455.0,0.68,0.7,-0.773,4.62,,3.21,,12.0082
,5909.0,1.42,1.09,0.419,4.11,,0.3256,,10.6251
,5428.0,0.86,0.94,-0.348,4.63,,1.2831,,12.6504
,6063.0,1.21,1.21,0.342,4.38,,0.3326,,12.422
,5525.0,0.89,0.95,-0.284,4.55,,2.14054,,12.1562
,5015.0,0.77,0.82,-0.523,4.63,,3.34951,,12.691
M2.5 V,3457.0,0.41,0.36,-1.597,4.79,,7.07318,,12.4154
,5358.0,0.72,0.72,-0.439,4.58,,3.375,,12.4039
,5608.0,1.07,0.99,-0.013,4.38,,2.639,,12.5618
,5165.0,0.8,0.88,-0.392,4.58,,2.256,,11.7202
,5482.0,0.87,0.94,-0.138,4.6,,1.47406,,12.6702
,5519.0,0.97,0.93,-0.132,4.43,,1.47406,,12.6702
,5519.0,0.97,0.93,-0.138,4.43,,1.47406,,12.6702
,5220.0,0.78,0.86,-0.399,4.59,,6.966,,10.13
,5722.0,0.91,0.98,-0.09,4.58,,2.1067,,12.0636
,5784.0,0.98,1.02,0.05,4.45,,1.18284,,12.1713
,5484.0,0.92,0.98,-0.21,4.5,,1.6823,,12.8673
,5484.0,0.92,0.98,-0.196,4.5,,1.6823,,12.8673
,5977.0,1.19,1.06,0.184,4.31,,0.83646,,12.4903
,5977.0,1.19,1.06,0.211,4.31,,0.83646,,12.4903
,5519.0,0.87,0.94,-0.239,4.53,,2.07235,,12.2538
,5519.0,0.87,0.94,-0.219,4.53,,2.07235,,12.2538
G9 V,5430.0,0.86,0.93,-0.292,4.63,8.0,1.76,2.0,12.8153
G9 V,5430.0,0.86,0.93,-0.305,4.63,8.0,1.76,2.0,12.8153
,5631.0,0.91,0.9,-0.068,4.38,,1.4816,,10.9586
,5631.0,0.91,0.9,-0.086,4.38,,1.4816,,10.9586
,5176.0,0.84,0.9,-0.345,4.57,,1.65547,,12.9948
,5222.0,0.81,0.9,-0.36,4.57,,5.975,,12.45
,5817.0,0.98,1.01,-0.076,4.46,,1.532,,13.0947
,5979.0,1.28,1.11,0.363,4.21,,0.75033,,12.8383
,5713.0,0.99,0.94,-0.012,4.42,,1.09,,12.3238
,5712.0,0.91,0.96,-0.053,4.55,,1.4805,,12.3238
,6045.0,1.54,1.16,0.644,4.08,,0.19854,,11.9274
,5667.0,0.93,1.0,-0.114,4.5,,1.16,,11.9937
,5212.9,0.76,0.8,-0.401,4.6,,2.59636,,10.9955
,4648.0,0.68,0.73,-0.721,4.64,,2.92839,,11.9053
,5233.0,0.79,0.86,-0.429,4.71,,2.23187,,12.2315
,5507.0,0.88,0.96,-0.276,4.68,,1.87336,,11.9432
,5491.0,0.91,0.97,-0.335,4.55,,1.75012,,13.0435
,5000.0,0.76,0.79,-0.485,4.43,,2.65477,,12.1219
,5755.0,1.18,1.01,0.253,4.23,,0.70142,,12.8893
,5890.0,1.08,0.95,0.194,4.25,,0.75459,,12.2509
,5043.0,0.76,0.79,-0.435,4.46,,2.3935,,12.8274
,5522.0,0.93,0.94,-0.173,4.41,,1.85898,,12.9687
,5582.0,0.86,0.93,-0.214,4.62,,2.17698,,12.3135
,4720.0,0.71,0.74,-0.588,4.46,,2.25118,,10.7447
M0.0,4222.06,0.65,0.68,-0.985,4.83,1.0,3.1676,,12.2785
,5396.0,0.85,0.91,-0.249,4.55,,1.94223,,11.5845
,5221.0,0.82,0.88,-0.386,4.6,,2.38468,,12.9329
,4272.0,0.65,0.67,-0.91,4.64,,4.445,,12.55
,5794.0,1.2,1.07,0.247,4.25,,0.64207,,12.0409
,5854.0,1.27,1.05,0.196,4.25,,1.08,,11.599
,5704.0,0.97,1.0,-0.026,4.41,,1.34077,,12.8302
K5 V,4503.0,0.72,0.7,-0.721,4.57,,2.3,1.8,12.0576
,5967.0,1.33,1.1,0.232,4.17,,0.77473,,12.0279
,5757.0,1.01,1.05,-0.003,4.45,,1.21277,,12.7137
,5753.0,1.19,1.02,0.151,4.23,,0.72546,,11.911
M0 V,3830.0,0.57,0.6,-1.113,4.65,,3.65548,,14.9537
,5660.0,1.02,0.96,-0.061,4.4,,3.061,,11.7214
,5716.0,0.95,1.01,-0.064,4.57,,1.28588,,12.4149
,6058.0,1.09,1.0,0.139,4.37,,1.25,,9.36072
,5835.0,0.99,1.06,0.0,4.48,,1.55082,,11.2736
,5620.0,0.84,0.91,-0.217,4.55,,2.73527,,12.5216
,5742.0,1.7,1.27,0.433,4.08,,0.21992,,11.5203
,5424.0,0.91,0.88,-0.246,4.47,,1.72343,,12.0917
,5673.0,0.89,0.95,-0.167,4.58,,1.66362,,11.4954
,4715.0,0.65,0.71,-0.849,4.66,,4.35191,,12.6527
G9,5315.0,0.79,0.87,-0.383,4.59,5.4,2.38,2.46,10.7861
G9,5315.0,0.79,0.87,-0.383,4.59,5.4,2.55757,2.46,10.7861
,5945.0,1.39,1.11,0.339,4.2,,0.64706,5.2,12.5751
,5695.0,0.95,1.01,-0.112,4.48,3.0,1.21128,2.0,12.5593
,6154.0,1.16,1.19,0.238,4.38,1.43,0.782,4.16,9.72626
K3,4950.0,0.74,0.8,-0.523,4.71,0.36,2.68886,4.5,10.4191
F9 V,6099.0,1.38,1.23,0.285,4.27,2.55,0.663,12.0,11.4668
G2 V,5630.0,1.59,1.19,0.36,4.11,5.63,0.0775,3.78,13.6635
M3.0 V,3420.0,0.36,0.4,-1.796,4.9,,19.15052,,13.4367
G9 V,5625.0,1.16,1.07,0.158,4.29,5.1,0.89,2.0,10.9072
M0.5 V,3810.0,0.54,0.58,-1.276,4.7,,4.32946,,12.6212
,5262.0,0.75,0.71,-0.441,4.54,,3.10999,2.08,11.7562
,3459.0,0.37,0.38,-1.808,4.89,,10.34168,,15.3818
,6570.0,1.39,1.29,0.446,4.26,,0.35249,,10.7424
,5677.0,0.92,0.86,-0.097,4.44,,2.1153,3.69,11.6317
,5793.0,1.25,0.83,0.193,4.16,,1.0187,4.62,12.5639
,5610.0,0.94,0.87,-0.141,4.43,,1.68077,2.9,14.3512
,4667.0,0.69,0.74,-0.833,4.63,,2.0381,,14.3583
,5528.0,0.92,0.88,-0.171,4.45,,1.82647,2.6,13.2616
,6504.0,1.57,1.32,0.366,4.16,,0.31728,,12.4497
M4.5,3180.0,0.29,0.29,-2.076,4.94,,15.9,7.8,14.3817
,5172.0,0.81,0.8,-0.404,4.53,,1.89682,2.2,13.9725
,3717.0,0.49,0.52,-1.415,4.76,,5.7438,,14.7702
,5152.0,0.82,0.79,-0.402,4.5,,2.04024,2.2,12.6201
,6027.0,1.1,1.08,-0.072,4.39,,1.01569,,14.7042
,4629.0,0.67,0.71,-0.765,4.64,,2.71073,,13.7427
,4676.0,0.69,0.71,-0.72,4.62,,1.94835,2.46,13.3087
,5219.0,0.78,0.84,-0.465,4.58,,3.60257,,14.6992
,3725.0,0.5,0.52,-1.381,4.76,,5.56654,,12.8602
,6351.0,1.31,1.21,0.272,4.29,,0.566,,13.1388
,6059.0,1.13,1.14,0.179,4.39,,1.00719,5.23,12.375
M1.0 V,3785.0,0.52,0.56,-1.31,4.72,1.0,3.92,,13.7519
F6 V,6367.0,1.69,1.39,0.543,4.15,1.9,0.4005,16.0,12.4667
G7 IV/V,5537.0,1.65,1.1,0.372,4.21,8.8,0.35,2.8,10.4594
G9 V,5368.0,0.85,0.88,-0.26,4.51,7.0,2.02,2.0,11.4055
M2.5 V,3660.0,0.47,0.5,-1.481,4.78,,6.61,,15.6625
G8 V,5477.0,0.98,0.92,-0.18,4.42,9.7,0.98,,10.9277
,4285.0,0.7,0.69,-0.823,4.58,,2.79,,11.3527
,5068.0,0.78,0.84,-0.471,4.59,,2.2994,,13.5627
,5068.0,0.78,0.84,-0.429,4.59,,2.2994,,13.5627
,6209.0,1.45,1.16,0.468,4.18,,1.13,,11.377
,5248.0,0.89,0.87,-0.27,4.48,10.3,2.04,2.3,12.4528
,4877.0,0.77,0.85,-0.558,4.59,,1.88623,,13.4701
,4877.0,0.77,0.85,-0.518,4.59,,1.88623,,13.4701
,5644.0,0.99,0.83,-0.05,4.37,,2.284,,13.6582
,5419.0,0.81,0.81,-0.302,4.53,,2.577,,13.6668
,5200.0,0.84,0.9,-0.353,4.55,,0.037,,13.1461
,5065.0,0.74,0.81,-0.509,4.61,,2.98,,12.8852
,4812.0,0.73,0.79,-0.593,4.61,,2.73722,,11.8139
,5139.0,0.85,0.82,-0.405,4.49,,0.505,,14.3792
,5741.0,0.97,1.02,-0.052,4.48,,6.936,,10.1214
,6747.0,1.61,1.4,0.399,4.17,,0.413,,13.2538
,5558.0,0.86,0.79,-0.205,4.46,,1.13,,11.5907
M4,3214.0,0.29,0.26,-1.94,4.93,,15.2,,14.6799
,5742.0,1.28,1.11,0.14,4.26,,0.259,,12.3604
,4812.0,0.76,0.82,-0.647,4.59,,4.354,,14.7677
,5523.0,0.94,0.95,-0.215,4.47,,1.442,,13.8183
,5060.0,0.82,0.89,-0.524,4.56,,2.861,,14.1316
,4140.0,0.61,0.63,-1.013,4.67,0.12,3.91,3.54,12.8598
K2 V,4975.0,0.79,0.83,-0.422,4.4,,2.512,3.9,11.804
M0 V,3926.0,0.62,0.64,-1.046,4.7,,3.41329,,12.1652
,5695.0,1.07,1.06,-0.108,4.4,4.5,1.217,3.2,11.067
M3 V,3341.0,0.32,0.33,-1.93,4.96,1.0,14.2,,14.5451
,5529.0,1.02,0.95,-0.505,4.39,,1.24,,13.7943
G7 V,5358.0,0.86,0.94,-0.295,4.54,2.6,2.9,3.7,12.2008
,6302.0,1.51,1.19,0.42,4.23,4.0,0.485,6.5,10.8204
,5520.0,0.9,0.93,-0.166,4.5,3.72,1.77,2.0,9.86639
G3 V,5725.0,1.09,1.0,0.093,4.33,6.8,1.14,4.6,9.75597
,5532.0,0.95,0.96,-0.18,4.52,,1.68821,,13.1611
,5612.0,1.2,0.99,0.088,4.2,,0.8926,,12.37
K5 V,4444.0,0.7,0.74,-0.716,4.63,,3.043,2.2,13.5184
M0.0&plusmn0.5 V,3896.0,0.56,0.6,-1.15,4.73,1.0,5.05,,11.4785
G6 V,5425.0,0.84,0.9,-0.256,4.54,3.9,2.11,1.4,13.2056
,6100.0,1.24,1.09,0.283,3.94,,,29.0,14.8949
G7 V,5280.0,0.78,0.91,-0.11,4.6,,1.19289,2.6,10.5371
M(3.5+/-0.5) V,3300.0,0.2,0.17,-2.387,5.09,1.0,32.6,5.0,15.6791
,3436.0,0.38,0.41,-1.83,4.89,,10.82654,,15.514
,3387.0,0.38,0.4,-1.871,4.88,,11.58286,,16.6387
,3851.0,0.55,0.56,-1.277,4.7,,4.49344,,14.3967
,5440.0,0.9,0.95,-0.237,4.51,,1.62082,,11.9397
G9 V,5415.0,0.84,0.86,-0.296,4.49,7.9,2.0,0.7,12.0036
G9 V,5415.0,0.84,0.86,-0.488,4.49,7.9,2.0,0.7,12.0036
,3157.0,0.3,0.12,-2.125,4.55,,16.90184,,16.3554
,3855.0,0.58,0.6,-1.254,4.68,,3.97279,,12.8241
,4141.0,0.6,0.63,-1.039,4.68,,3.57867,,13.3108
,3710.0,0.55,0.48,-1.339,4.63,,4.86477,,14.0693
,3752.0,0.51,0.52,-1.333,4.74,,5.31375,,14.5172
,3287.0,0.3,0.27,-2.048,4.84,,14.63907,,16.137
,3924.0,0.69,0.51,-0.978,4.46,,2.80726,,15.0082
,5282.0,0.82,0.9,-0.325,4.57,1.8,2.3,1.9,12.4462
M3.3,3540.0,1.05,0.56,-0.824,4.06,0.009,0.72,8.2,14.157
F,6071.0,1.44,1.15,0.4,4.18,2.88,0.675,6.31,11.4357
K4 V,4402.71,0.62,0.7,-0.719,4.7,,2.02725,3.0,13.9152
K2 V,4916.0,0.72,0.79,-0.57,4.62,1.4,2.99,2.0,11.527
G3 V,5413.0,0.85,0.9,-0.469,4.52,,1.80561,2.0,12.2573
G3 V,5413.0,0.85,0.9,-0.408,4.52,,1.80561,2.0,12.2573
G2 V,5757.0,1.38,2.24,0.0,4.35,,1.21,2.0,11.184
G2 V,5757.0,1.1,1.07,0.0,4.35,,0.90362,2.0,11.184
,4881.0,2.97,0.66,0.674,3.44,3.09,0.04,2.01,10.5959
,4014.73,0.57,0.64,-0.915,4.85,,2.81523,,14.3403
,4613.0,0.64,0.7,-0.703,4.66,,2.58259,,14.6336
,3840.6,0.54,0.57,-1.273,4.68,,4.39884,,14.8215
,3840.6,0.54,0.57,-1.212,4.68,,4.39884,,14.8215
,5912.0,1.58,1.15,0.43,4.1,,0.32177,,12.0238
,4103.0,0.45,0.5,-0.712,4.82,,2.12887,,15.3442
,6256.0,1.29,0.96,0.413,4.2,,0.6011,,11.9153
,5054.0,0.76,0.75,-0.482,4.54,,2.04062,,13.7404
,4899.0,0.73,0.77,-0.657,4.6,,2.6926,,13.9677
,4175.0,0.45,0.51,-0.774,4.81,,2.53526,,15.2444
K7.5 V,3930.0,0.57,0.61,-1.083,4.71,,4.4048,,14.339
,4326.0,0.55,0.61,-0.874,4.74,,2.55179,,14.2575
,7147.0,2.19,1.69,0.027,3.98,,0.22,,15.2553
,5263.0,0.81,0.85,-0.579,4.55,,2.29,,12.1478
,3798.0,0.38,0.42,-1.011,4.89,,3.36086,,13.9449
,4456.0,0.63,0.7,-0.784,4.67,,2.35056,,13.0624
,4434.0,0.62,0.68,-0.83,4.68,,2.98676,,14.1038
,5413.0,0.86,0.89,-0.398,4.52,,2.00934,,12.1319
,5413.0,0.86,0.89,-0.412,4.52,,2.00934,,12.1319
,5055.0,0.73,0.77,-0.66,4.59,,4.00081,,13.9395
,5850.0,0.96,0.97,-0.12,4.4,,1.84715,,12.5018
G4 V,5500.0,1.12,0.97,0.282,4.07,10.0,0.99,2.2,12.6108
,6293.0,1.36,1.21,-0.015,4.25,,1.43264,,12.8575
,4880.0,0.73,0.77,-0.727,4.6,,3.00696,,12.0433
,4880.0,0.73,0.77,-0.781,4.6,,3.00696,,12.0433
,6771.0,1.63,1.4,0.219,4.15,,0.71318,,12.7269
,5312.0,0.73,0.74,-0.234,4.58,,1.97545,,13.9146
,5213.0,0.84,0.87,-0.328,4.53,,,,
,5887.0,1.67,1.11,0.506,4.03,,0.29907,3.7,11.9961
,4746.0,0.68,0.73,-0.673,4.63,,3.28491,,12.6573
,4127.0,0.49,0.55,-1.356,4.79,,5.05142,,15.0572
,5772.0,0.96,0.97,0.405,3.82,,0.34003,,13.0573
,5622.0,0.93,0.94,-0.429,4.48,,2.39642,,12.7782
,4006.0,0.43,0.48,-1.519,4.85,,6.24198,,15.1887
,3360.47,0.33,0.27,-1.837,4.9,,12.2977,,14.2789
,5922.0,1.06,1.05,0.076,4.41,,1.26589,,11.7146
,6060.0,0.98,0.96,0.06,4.44,,1.46962,,12.4364
,5995.0,1.56,1.16,0.349,4.12,,0.45516,,12.5886
,4970.0,0.76,0.8,-0.5,4.47,0.85,2.5,4.0,11.9202
,5926.0,1.28,1.06,0.018,4.25,,0.54023,,11.8031
K3 V,4870.0,0.74,0.78,-0.553,4.52,,2.36326,2.0,14.3358
K3 V,4870.0,0.74,0.78,-0.583,4.52,,2.36326,2.0,14.3358
,5441.0,0.87,0.9,-0.432,4.52,,1.90744,,12.377
,5377.0,0.84,0.91,-0.432,4.65,,1.90744,,12.377
,4674.13,0.63,0.75,-0.569,4.67,,2.51722,,13.9043
,3910.0,0.42,0.48,-1.204,4.86,,4.4018,,13.8042
,5652.0,0.93,0.95,-0.423,4.48,,2.29121,,13.1474
,4268.0,0.51,0.57,-0.812,4.78,,2.35191,,12.06
,5482.0,0.76,0.79,-0.386,4.58,,2.16081,,12.7978
,5747.0,1.4,1.16,-0.098,4.21,,0.59,,13.7078
,3537.0,0.26,0.26,-1.545,5.02,,7.18129,,14.5451
,3691.0,0.32,0.35,-1.327,4.96,,4.89287,,13.3216
M2.5 V,3390.0,0.31,0.3,-1.921,4.82,1.0,9.88,,14.8665
,4484.0,0.62,0.63,-0.953,4.65,,3.74,,13.2292
,4421.98,0.63,0.7,-0.953,4.79,,3.30792,,13.2292
,3622.0,0.28,0.29,-1.841,5.0,,10.36688,,14.3219
M3.0,3548.0,0.42,0.44,-1.635,4.84,0.79,1.12,2.6,16.0836
,4717.0,4.47,1.2,0.919,3.22,7.8,0.279,2.8,12.3059
F8 V,6172.0,1.57,1.2,0.504,4.13,5.2,0.633,6.1,12.0398
G0 IV,6217.0,2.63,1.63,0.961,3.81,2.4,0.099,9.3,10.9485
,6518.0,1.46,1.32,0.542,4.25,,0.62059,56.0,10.5905
G0 V,5948.0,1.21,1.11,0.217,4.32,4.5,0.889,,10.7009
G8/K0 IV,5375.0,2.69,1.44,0.744,3.7,,0.104,2.66,7.83112
,6279.0,2.37,1.59,0.892,3.89,2.2,0.168,,10.4842
G4,5720.0,1.52,1.24,0.279,4.17,5.11,0.495,3.3,10.8384
,6003.0,1.78,2.06,0.412,4.17,,0.51,7.6,11.0694
F7 V,6236.0,1.36,1.21,0.401,4.25,3.1,0.679,7.6,11.7959
A,7454.0,1.65,1.64,0.876,4.22,0.65,0.518,44.2,9.20887
F4 V,6670.0,1.91,1.52,0.813,4.06,1.9,0.3111,12.3,10.1036
A8 V,7500.0,1.83,1.62,0.978,4.13,,0.376,84.8,9.86331
F8,6327.0,1.93,1.54,0.689,4.5,3.97,0.3,9.0,8.58393
A2 V,8720.0,1.56,1.76,1.104,4.29,0.6,0.641,117.4,7.57492
A8 V,7598.0,1.64,1.46,0.905,4.17,1.6,0.468,146.03,10.5415
G2 V,5899.0,1.0,0.94,0.034,4.42,6.4,1.349,2.42,10.182
F5,6509.0,1.51,1.46,0.565,4.25,0.78,0.603,19.76,8.23752
,6304.0,1.7,1.96,0.625,4.2,3.0,0.56,10.2,9.76324
F,6206.0,1.6,1.2,0.535,4.11,4.44,0.411,6.0,9.95702
F8,6102.0,1.73,1.42,0.493,4.07,6.1,0.39,4.53,10.1934
F8,6272.0,1.53,1.13,0.555,4.12,4.9,0.44,4.53,10.1934
F,6768.0,1.81,1.76,0.758,4.5,1.3,0.42,69.3,8.45173
G2 V,5754.0,1.46,0.81,0.265,4.08,5.4,0.37,3.7,10.6699
B9.5-A0,10170.0,2.36,2.52,1.724,4.09,0.3,0.2702,111.4,7.57675
,27500.0,0.18,0.47,1.431,5.35,,113.61776,,15.7109
,6091.0,1.01,1.01,0.129,4.42,,0.80974,,15.3043
,6175.0,1.01,0.98,0.405,4.44,,0.48871,,14.1674
F7 V,6305.24,1.17,1.21,0.668,4.32,,3.35644,,13.4394
,6340.0,1.24,1.07,0.641,4.16,3.16,0.41292,,13.7506
,6258.0,1.52,0.98,0.556,4.08,,0.2579,,12.6884
A,7067.0,2.01,1.63,0.996,4.0,,0.23228,120.0,13.1092
,6474.0,1.26,1.04,0.265,4.31,,0.31886,,14.2165
,6065.0,1.03,0.98,0.792,4.42,3.0,0.23283,,13.9075
,,,0.48,,,,,,
,,,0.09,,,,,,
,,,0.45,,,,,,
,,,0.04,,,,,,
,,,0.49,,,,,,
,,,0.07,,,,,,
,,,0.5,,,,,,
,,,0.64,,,,,,
,,,0.76,,,,,,
,,,0.37,,,,,,
,,,0.33,,,,,,
,,,1.14,,,,,,
,,,1.09,,,,,,
M,,,0.09,,,,,,
,,,0.31,,,,,,
,6635.0,1.4,1.5,0.626,4.31,1.45,0.8,60.0,11.2535
G5 V,5520.0,1.13,0.99,0.029,4.32,9.3,0.99,4.6,14.6419
,7650.0,1.74,1.72,0.971,4.2,1.12,0.49629,65.0,10.3678
