discoverymethod,disc_locale,disc_facility,disc_telescope
Transit,Space,CoRoT,0.27 m CoRoT Telescope
Transit,Space,CoRoT,0.27 m CoRoT Telescope
Transit,Space,CoRoT,0.27 m CoRoT Telescope
Transit,Space,CoRoT,0.27 m CoRoT Telescope
Transit,Space,CoRoT,0.27 m CoRoT Telescope
Transit,Space,CoRoT,0.27 m CoRoT Telescope
Transit,Space,CoRoT,0.27 m CoRoT Telescope
Transit,Space,CoRoT,0.27 m CoRoT Telescope
Radial Velocity,Space,CoRoT,0.27 m CoRoT Telescope
Transit,Space,CoRoT,0.27 m CoRoT Telescope
Transit,Space,CoRoT,0.27 m CoRoT Telescope
Transit,Space,CoRoT,0.27 m CoRoT Telescope
Eclipse Timing Variations,Ground,Multiple Facilities,Multiple Telescopes
Astrometry,Ground,Paranal Observatory,8.2 m ESO VLT UT1 Antu Telescope
Imaging,Ground,Subaru Telescope,8.2 m Subaru Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,Multiple Facilities,Multiple Telescopes
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Eclipse Timing Variations,Ground,Yunnan Astronomical Observatory,2.4 m Lijiang Station Telescope
Transit,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope
Transit,Space,K2,0.95 m Kepler Telescope
Transit,Space,K2,0.95 m Kepler Telescope
Transit,Space,K2,0.95 m Kepler Telescope
Transit,Space,K2,0.95 m Kepler Telescope
Transit,Space,K2,0.95 m Kepler Telescope
Transit,Space,K2,0.95 m Kepler Telescope
Transit,Space,K2,0.95 m Kepler Telescope
Transit,Space,K2,0.95 m Kepler Telescope
Transit,Space,K2,0.95 m Kepler Telescope
Transit,Space,K2,0.95 m Kepler Telescope
Transit,Space,K2,0.95 m Kepler Telescope
Transit,Space,K2,0.95 m Kepler Telescope
Transit,Space,K2,0.95 m Kepler Telescope
Transit,Space,K2,0.95 m Kepler Telescope
Transit,Space,K2,0.95 m Kepler Telescope
Transit,Space,K2,0.95 m Kepler Telescope
Transit,Space,K2,0.95 m Kepler Telescope
Transit,Space,K2,0.95 m Kepler Telescope
Transit,Space,K2,0.95 m Kepler Telescope
Transit,Space,K2,0.95 m Kepler Telescope
Transit,Space,K2,0.95 m Kepler Telescope
Transit,Space,K2,0.95 m Kepler Telescope
Transit,Space,K2,0.95 m Kepler Telescope
Transit,Space,K2,0.95 m Kepler Telescope
Transit,Space,K2,0.95 m Kepler Telescope
Transit,Space,K2,0.95 m Kepler Telescope
Transit,Space,K2,0.95 m Kepler Telescope
Transit,Space,K2,0.95 m Kepler Telescope
Transit,Space,K2,0.95 m Kepler Telescope
Transit,Space,K2,0.95 m Kepler Telescope
Imaging,Space,Spitzer Space Telescope,0.85 m Spitzer Space Telescope
Transit,Space,K2,0.95 m Kepler Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Transit,Ground,Cerro Tololo Inter-American Observatory,MEarth-South telescope array
Radial Velocity,Ground,La Silla Observatory,3.6 m ESO Telescope
Radial Velocity,Ground,W. M. Keck Observatory,10 m Keck I Telescope
Radial Velocity,Ground,Calar Alto Observatory,3.5 m telescope
Radial Velocity,Ground,Multiple Observatories,Multiple Telescopes
Transit,Ground,MEarth Project,0.4 m MEarth Telescope
