discoverymethod,disc_locale,disc_facility,disc_telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit Timing Variations,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
Transit,Space,Kepler,0.95 m Kepler Telescope
