system_name,sy_snum,sy_pnum,sy_mnum
HAT-P-51,1,1,0
HAT-P-52,1,1,0
HAT-P-53,1,1,0
HAT-P-54,1,1,0
HAT-P-55,1,1,0
HAT-P-56,1,1,0
HAT-P-57,3,1,0
HAT-P-6,1,1,0
HAT-P-65,1,1,0
HAT-P-66,1,1,0
HAT-P-67,2,1,0
HAT-P-68,1,1,0
HAT-P-69,1,1,0
HAT-P-7,2,1,0
HAT-P-70,1,1,0
HAT-P-8,3,1,0
HAT-P-9,1,1,0
HATS-1,1,1,0
HATS-10,1,1,0
HATS-11,1,1,0
HATS-12,1,1,0
HATS-13,1,1,0
HATS-14,1,1,0
HATS-15,1,1,0
HATS-16,1,1,0
HATS-17,1,1,0
HATS-18,1,1,0
HATS-2,1,1,0
HATS-22,1,1,0
HATS-23,1,1,0
HATS-24,1,1,0
HATS-25,1,1,0
HATS-26,1,1,0
HATS-27,1,1,0
HATS-28,1,1,0
HATS-29,1,1,0
HATS-3,1,1,0
HATS-30,2,1,0
HATS-31,1,1,0
HATS-32,1,1,0
HATS-33,1,1,0
HATS-34,1,1,0
HATS-35,1,1,0
HATS-36,1,1,0
HATS-37 A,2,1,0
HATS-38,1,1,0
HATS-39,1,1,0
HATS-4,1,1,0
HATS-40,1,1,0
HATS-41,1,1,0
HATS-42,1,1,0
HATS-43,1,1,0
HATS-44,1,1,0
HATS-45,1,1,0
HATS-46,1,1,0
HATS-47,1,1,0
HATS-48 A,2,1,0
HATS-49,1,1,0
HATS-5,1,1,0
HATS-50,1,1,0
HATS-51,1,1,0
HATS-52,1,1,0
HATS-53,1,1,0
HATS-54,1,1,0
HATS-55,1,1,0
HATS-56,1,1,0
HATS-57,1,1,0
HATS-58 A,2,1,0
HATS-59,1,2,0
HATS-6,1,1,0
HATS-60,1,1,0
HATS-61,1,1,0
HATS-62,1,1,0
HATS-63,1,1,0
HATS-64,1,1,0
HATS-65,2,1,0
HATS-66,1,1,0
HATS-67,1,1,0
HATS-68,1,1,0
HATS-69,1,1,0
HATS-7,1,1,0
HATS-70,1,1,0
HATS-71,1,1,0
HATS-72,1,1,0
HATS-8,1,1,0
HATS-9,1,1,0
HD 100546,1,1,0
HD 100655,2,1,0
HD 100777,1,1,0
HD 10180,1,6,0
HD 101930,2,1,0
HD 102117,1,1,0
HD 102195,1,1,0
HD 102272,1,1,0
HD 102329,1,2,0
HD 102365,2,1,0
HD 102843,1,1,0
HD 102956,2,1,0
HD 103197,1,1,0
HD 103720,1,1,0
HD 103774,2,1,0
HD 103949,1,1,0
HD 104067,1,1,0
HD 10442,1,1,0
HD 104985,1,1,0
HD 106252,1,1,0
HD 106270,1,1,0
HD 106315,1,2,0
HD 10647,1,1,0
HD 106515 A,2,1,0
HD 106906,1,1,0
HD 10697,1,1,0
HD 107148,2,1,0
HD 108147,1,1,0
HD 108236,1,5,0
HD 108341,2,1,0
HD 108863,1,1,0
HD 108874,1,2,0
HD 109246,1,1,0
HD 109271,1,2,0
HD 109749,2,1,0
HD 110014,1,1,0
HD 110082,2,1,0
HD 110113,1,2,0
HD 111232,1,1,0
HD 111591,1,1,0
HD 111998,1,1,0
HD 112640,1,1,0
HD 113337,1,1,0
HD 113538,1,2,0
HD 113996,2,1,0
HD 114386,1,1,0
HD 114613,1,1,0
HD 114729,2,1,0
HD 114762,2,1,0
HD 114783,1,2,0
HD 11506,1,2,0
HD 116029,2,2,0
HD 117207,1,1,0
HD 11755,1,1,0
HD 117618,1,1,0
HD 118203,1,1,0
HD 11964,2,2,0
HD 11977,1,1,0
HD 120084,1,1,0
HD 121504,1,1,0
HD 12484,1,1,0
HD 125390,1,1,0
HD 125595,1,1,0
HD 125612,2,3,0
HD 12648,1,1,0
HD 126525,1,1,0
HD 12661,1,2,0
HD 126614,3,1,0
HD 128311,1,2,0
HD 128356,1,1,0
HD 129445,1,1,0
HD 130322,1,1,0
HD 131496,1,1,0
HD 131664,1,1,0
HD 13167,1,1,0
