pl_name,pl_letter
K2-72 b,b
K2-72 c,c
K2-72 d,d
K2-72 e,e
K2-73 b,b
K2-74 b,b
K2-75 b,b
K2-75 c,c
K2-77 b,b
K2-79 b,b
K2-8 b,b
K2-8 c,c
K2-80 b,b
K2-80 c,c
K2-80 d,d
K2-81 b,b
K2-83 b,b
K2-83 c,c
K2-84 b,b
K2-84 c,c
K2-85 b,b
K2-86 b,b
K2-87 b,b
K2-88 b,b
K2-89 b,b
K2-9 b,b
K2-90 b,b
K2-90 c,c
K2-91 b,b
K2-95 b,b
K2-97 b,b
K2-98 b,b
K2-99 b,b
KELT-1 b,b
KELT-10 b,b
KELT-11 b,b
KELT-12 b,b
KELT-14 b,b
KELT-15 b,b
KELT-16 b,b
KELT-17 b,b
KELT-18 b,b
KELT-19 A b,b
KELT-2 A b,b
KELT-20 b,b
KELT-21 b,b
KELT-23 A b,b
KELT-24 b,b
KELT-3 b,b
KELT-4 A b,b
KELT-6 b,b
KELT-6 c,c
KELT-7 b,b
KELT-8 b,b
KELT-9 b,b
KIC 10001893 b,b
KIC 10001893 c,c
KIC 10001893 d,d
KIC 10525077 b,b
KIC 3558849 b,b
KIC 5095269 b,b
KIC 5437945 b,b
KIC 5951458 b,b
KIC 7917485 b,b
KIC 8540376 b,b
KIC 8540376 c,c
KIC 9663113 b,b
KMT-2016-BLG-0212L b,b
KMT-2016-BLG-1107L b,b
KMT-2016-BLG-1397L b,b
KMT-2016-BLG-1820L b,b
KMT-2016-BLG-1836L b,b
KMT-2016-BLG-2142L b,b
KMT-2016-BLG-2364L b,b
KMT-2016-BLG-2397L b,b
KMT-2017-BLG-0165L b,b
KMT-2017-BLG-1038L b,b
KMT-2017-BLG-1146L b,b
KMT-2018-BLG-0029L b,b
KMT-2018-BLG-0748L b,b
KMT-2018-BLG-1292L b,b
KMT-2018-BLG-1990L b,b
KMT-2019-BLG-0842L b,b
KMT-2019-BLG-1339L b,b
KMT-2019-BLG-1953L b,b
KOI-12 b,b
KOI-1257 b,b
KOI-13 b,b
KOI-142 b,b
KOI-142 c,c
KOI-1599.01,c
KOI-1599.02,b
KOI-1783.01,b
KOI-1783.02,c
KOI-217 b,b
KOI-351 b,b
KOI-351 c,c
KOI-351 d,d
KOI-351 e,e
KOI-351 f,f
KOI-351 g,g
KOI-351 h,h
KOI-3680 b,b
KOI-55 b,b
KOI-55 c,c
KOI-94 b,b
KOI-94 c,c
KOI-94 d,d
KOI-94 e,e
KPS-1 b,b
Kapteyn c,c
Kepler-10 b,b
Kepler-10 c,c
Kepler-100 b,b
Kepler-100 c,c
Kepler-100 d,d
Kepler-1000 b,b
Kepler-1001 b,b
Kepler-1001 c,c
Kepler-1002 b,b
Kepler-1003 b,b
Kepler-1004 b,b
Kepler-1005 b,b
Kepler-1006 b,b
Kepler-1007 b,b
Kepler-1008 b,b
Kepler-1009 b,b
Kepler-101 b,b
Kepler-101 c,c
Kepler-1010 b,b
Kepler-1011 b,b
Kepler-1012 b,b
Kepler-1013 b,b
Kepler-1014 b,b
Kepler-1015 b,b
Kepler-1016 b,b
Kepler-1016 c,c
Kepler-1017 b,b
Kepler-1018 b,b
Kepler-1019 b,b
Kepler-102 b,b
Kepler-102 c,c
Kepler-102 d,d
Kepler-102 e,e
Kepler-102 f,f
Kepler-1020 b,b
Kepler-1021 b,b
Kepler-1022 b,b
Kepler-1023 b,b
Kepler-1024 b,b
Kepler-1025 b,b
Kepler-1026 b,b
Kepler-1027 b,b
Kepler-1028 b,b
Kepler-1029 b,b
Kepler-103 b,b
Kepler-103 c,c
Kepler-1030 b,b
Kepler-1031 b,b
Kepler-1032 b,b
Kepler-1033 b,b
Kepler-1034 b,b
Kepler-1035 b,b
Kepler-1036 b,b
Kepler-1037 b,b
Kepler-1038 b,b
Kepler-1039 b,b
Kepler-104 b,b
Kepler-104 c,c
Kepler-104 d,d
Kepler-1040 b,b
Kepler-1041 b,b
Kepler-1042 b,b
Kepler-1043 b,b
Kepler-1044 b,b
Kepler-1045 b,b
Kepler-1046 b,b
Kepler-1047 b,b
Kepler-1047 c,c
Kepler-1048 b,b
Kepler-1049 b,b
Kepler-105 b,b
Kepler-105 c,c
Kepler-1050 b,b
Kepler-1050 c,c
Kepler-1051 b,b
Kepler-1052 b,b
Kepler-1053 b,b
Kepler-1054 b,b
Kepler-1055 b,b
Kepler-1056 b,b
Kepler-1057 b,b
Kepler-1058 b,b
Kepler-1059 b,b
Kepler-106 b,b
Kepler-106 c,c
Kepler-106 d,d
Kepler-106 e,e
Kepler-1060 b,b
Kepler-1061 b,b
Kepler-1062 b,b
Kepler-1063 b,b
Kepler-1064 b,b
Kepler-1065 b,b
Kepler-1065 c,c
Kepler-1066 b,b
Kepler-1067 b,b
Kepler-1068 b,b
Kepler-1069 b,b
Kepler-107 b,b
Kepler-107 c,c
Kepler-107 d,d
Kepler-107 e,e
Kepler-1070 b,b
Kepler-1071 b,b
Kepler-1072 b,b
Kepler-1073 b,b
Kepler-1073 c,c
Kepler-1074 b,b
Kepler-1075 b,b
Kepler-1076 b,b
Kepler-1077 b,b
Kepler-1078 b,b
Kepler-1079 b,b
Kepler-108 b,b
Kepler-108 c,c
Kepler-1080 b,b
Kepler-1081 b,b
Kepler-1082 b,b
Kepler-1083 b,b
Kepler-1084 b,b
Kepler-1085 b,b
Kepler-1085 c,c
Kepler-1086 b,b
Kepler-1086 c,c
Kepler-1087 b,b
Kepler-1088 b,b
Kepler-1089 b,b
Kepler-109 b,b
Kepler-109 c,c
Kepler-1090 b,b
Kepler-1091 b,b
Kepler-1092 b,b
Kepler-1093 b,b
Kepler-1093 c,c
Kepler-1094 b,b
Kepler-1095 b,b
Kepler-1096 b,b
Kepler-1097 b,b
Kepler-1098 b,b
Kepler-1099 b,b
Kepler-11 b,b
Kepler-11 c,c
Kepler-11 d,d
Kepler-11 e,e
Kepler-11 f,f
Kepler-11 g,g
Kepler-110 b,b
Kepler-110 c,c
Kepler-1100 b,b
Kepler-1101 b,b
Kepler-1102 b,b
Kepler-1103 b,b
Kepler-1104 b,b
Kepler-1105 b,b
Kepler-1106 b,b
Kepler-1107 b,b
Kepler-1108 b,b
Kepler-1109 b,b
Kepler-111 b,b
Kepler-111 c,c
Kepler-1110 b,b
Kepler-1111 b,b
Kepler-1112 b,b
Kepler-1113 b,b
Kepler-1114 b,b
Kepler-1115 b,b
Kepler-1116 b,b
Kepler-1117 b,b
Kepler-1118 b,b
Kepler-1119 b,b
Kepler-112 b,b
Kepler-112 c,c
Kepler-1120 b,b
Kepler-1121 b,b
Kepler-1122 b,b
Kepler-1123 b,b
Kepler-1124 b,b
Kepler-1125 b,b
Kepler-1126 b,b
Kepler-1127 b,b
Kepler-1128 b,b
Kepler-1129 b,b
Kepler-1129 c,c
Kepler-113 b,b
Kepler-113 c,c
Kepler-1130 b,b
Kepler-1131 b,b
Kepler-1132 b,b
Kepler-1133 b,b
Kepler-1134 b,b
Kepler-1135 b,b
Kepler-1136 b,b
Kepler-1137 b,b
Kepler-1138 b,b
Kepler-1139 b,b
Kepler-114 b,b
Kepler-114 c,c
Kepler-114 d,d
Kepler-1140 b,b
Kepler-1141 b,b
Kepler-1142 b,b
Kepler-1143 b,b
Kepler-1143 c,c
Kepler-1144 b,b
Kepler-1145 b,b
Kepler-1146 b,b
Kepler-1147 b,b
Kepler-1148 b,b
Kepler-1149 b,b
Kepler-115 b,b
Kepler-115 c,c
Kepler-1150 b,b
Kepler-1151 b,b
Kepler-1152 b,b
Kepler-1153 b,b
Kepler-1154 b,b
Kepler-1154 c,c
Kepler-1155 b,b
Kepler-1156 b,b
Kepler-1157 b,b
Kepler-1158 b,b
Kepler-1159 b,b
Kepler-116 b,b
Kepler-116 c,c
Kepler-1160 b,b
Kepler-1161 b,b
Kepler-1162 b,b
Kepler-1163 b,b
Kepler-1164 b,b
Kepler-1165 b,b
Kepler-1166 b,b
Kepler-1167 b,b
Kepler-1168 b,b
Kepler-1169 b,b
Kepler-117 b,b
Kepler-117 c,c
Kepler-1170 b,b
Kepler-1171 b,b
Kepler-1172 b,b
Kepler-1173 b,b
Kepler-1174 b,b
Kepler-1175 b,b
Kepler-1176 b,b
Kepler-1177 b,b
Kepler-1178 b,b
Kepler-1179 b,b
Kepler-118 b,b
Kepler-118 c,c
Kepler-1180 b,b
Kepler-1181 b,b
Kepler-1182 b,b
Kepler-1183 b,b
Kepler-1184 b,b
Kepler-1185 b,b
Kepler-1186 b,b
Kepler-1187 b,b
Kepler-1188 b,b
Kepler-1189 b,b
Kepler-119 b,b
Kepler-119 c,c
Kepler-1190 b,b
Kepler-1191 b,b
Kepler-1192 b,b
Kepler-1193 b,b
Kepler-1194 b,b
Kepler-1195 b,b
Kepler-1196 b,b
Kepler-1197 b,b
Kepler-1198 b,b
Kepler-1199 b,b
Kepler-12 b,b
Kepler-120 b,b
Kepler-120 c,c
Kepler-1200 b,b
Kepler-1201 b,b
Kepler-1202 b,b
Kepler-1203 b,b
Kepler-1204 b,b
Kepler-1205 b,b
Kepler-1206 b,b
Kepler-1207 b,b
Kepler-1208 b,b
Kepler-1209 b,b
Kepler-121 b,b
Kepler-121 c,c
Kepler-1210 b,b
Kepler-1211 b,b
Kepler-1212 b,b
Kepler-1213 b,b
Kepler-1214 b,b
Kepler-1215 b,b
Kepler-1216 b,b
Kepler-1217 b,b
Kepler-1218 b,b
Kepler-1219 b,b
Kepler-122 b,b
Kepler-122 c,c
Kepler-122 d,d
Kepler-122 e,e
Kepler-122 f,f
Kepler-1220 b,b
Kepler-1221 b,b
Kepler-1222 b,b
Kepler-1223 b,b
Kepler-1224 b,b
Kepler-1225 b,b
Kepler-1226 b,b
Kepler-1227 b,b
Kepler-1228 b,b
Kepler-1229 b,b
Kepler-123 b,b
Kepler-123 c,c
Kepler-1230 b,b
Kepler-1231 b,b
Kepler-1232 b,b
Kepler-1233 b,b
Kepler-1234 b,b
Kepler-1235 b,b
Kepler-1236 b,b
Kepler-1237 b,b
Kepler-1238 b,b
Kepler-1239 b,b
Kepler-124 b,b
Kepler-124 c,c
Kepler-124 d,d
Kepler-1240 b,b
Kepler-1241 b,b
Kepler-1242 b,b
Kepler-1243 b,b
Kepler-1244 b,b
Kepler-1245 b,b
Kepler-1245 c,c
Kepler-1246 b,b
Kepler-1247 b,b
Kepler-1248 b,b
Kepler-1249 b,b
Kepler-125 b,b
Kepler-125 c,c
Kepler-1250 b,b
Kepler-1251 b,b
Kepler-1252 b,b
Kepler-1253 b,b
Kepler-1254 b,b
Kepler-1254 c,c
Kepler-1254 d,d
Kepler-1255 b,b
Kepler-1256 b,b
Kepler-1257 b,b
Kepler-1258 b,b
Kepler-1259 b,b
Kepler-126 b,b
Kepler-126 c,c
Kepler-126 d,d
Kepler-1260 b,b
Kepler-1261 b,b
Kepler-1262 b,b
Kepler-1263 b,b
Kepler-1264 b,b
Kepler-1265 b,b
Kepler-1266 b,b
Kepler-1267 b,b
Kepler-1268 b,b
Kepler-1269 b,b
Kepler-127 b,b
Kepler-127 c,c
Kepler-127 d,d
Kepler-1270 b,b
Kepler-1271 b,b
Kepler-1272 b,b
Kepler-1273 b,b
Kepler-1274 b,b
Kepler-1275 b,b
Kepler-1276 b,b
Kepler-1277 b,b
Kepler-1278 b,b
Kepler-1279 b,b
Kepler-128 b,b
Kepler-128 c,c
Kepler-1280 b,b
Kepler-1281 b,b
Kepler-1282 b,b
Kepler-1283 b,b
Kepler-1284 b,b
Kepler-1285 b,b
Kepler-1286 b,b
Kepler-1287 b,b
Kepler-1288 b,b
Kepler-1289 b,b
Kepler-129 b,b
Kepler-129 c,c
Kepler-1290 b,b
Kepler-1291 b,b
Kepler-1292 b,b
Kepler-1293 b,b
Kepler-1294 b,b
Kepler-1295 b,b
Kepler-1296 b,b
Kepler-1297 b,b
Kepler-1298 b,b
Kepler-1299 b,b
Kepler-130 b,b
Kepler-130 c,c
Kepler-130 d,d
Kepler-1300 b,b
Kepler-1301 b,b
Kepler-1302 b,b
Kepler-1303 b,b
Kepler-1304 b,b
Kepler-1305 b,b
Kepler-1306 b,b
Kepler-1307 b,b
Kepler-1308 b,b
Kepler-1309 b,b
Kepler-131 b,b
Kepler-131 c,c
Kepler-1310 b,b
Kepler-1311 b,b
Kepler-1311 c,c
Kepler-1312 b,b
Kepler-1313 b,b
Kepler-1314 b,b
Kepler-1315 b,b
Kepler-1316 b,b
Kepler-1317 b,b
Kepler-1318 b,b
Kepler-1319 b,b
Kepler-132 b,b
Kepler-132 c,c
Kepler-132 d,d
Kepler-132 e,e
Kepler-1320 b,b
Kepler-1321 b,b
Kepler-1321 c,c
Kepler-1322 b,b
Kepler-1323 b,b
Kepler-1324 b,b
Kepler-1325 b,b
Kepler-1326 b,b
Kepler-1327 b,b
Kepler-1328 b,b
Kepler-1329 b,b
Kepler-133 b,b
Kepler-133 c,c
Kepler-1330 b,b
Kepler-1331 b,b
Kepler-1332 b,b
Kepler-1333 b,b
Kepler-1334 b,b
Kepler-1335 b,b
Kepler-1336 b,b
Kepler-1336 c,c
Kepler-1337 b,b
Kepler-1338 b,b
Kepler-1339 b,b
Kepler-134 b,b
Kepler-134 c,c
Kepler-1340 b,b
Kepler-1341 b,b
Kepler-1342 b,b
Kepler-1343 b,b
Kepler-1344 b,b
Kepler-1345 b,b
Kepler-1346 b,b
Kepler-1347 b,b
Kepler-1348 b,b
Kepler-1349 b,b
Kepler-135 b,b
Kepler-135 c,c
Kepler-1350 b,b
Kepler-1350 c,c
Kepler-1351 b,b
Kepler-1352 b,b
Kepler-1353 b,b
Kepler-1354 b,b
Kepler-1355 b,b
Kepler-1356 b,b
Kepler-1357 b,b
Kepler-1358 b,b
Kepler-1359 b,b
Kepler-136 b,b
Kepler-136 c,c
Kepler-1360 b,b
Kepler-1361 b,b
Kepler-1362 b,b
Kepler-1363 b,b
Kepler-1364 b,b
Kepler-1365 b,b
Kepler-1365 c,c
Kepler-1366 b,b
Kepler-1367 b,b
Kepler-1368 b,b
Kepler-1369 b,b
Kepler-137 b,b
Kepler-137 c,c
Kepler-1370 b,b
Kepler-1370 c,c
Kepler-1371 b,b
Kepler-1371 c,c
Kepler-1372 b,b
Kepler-1373 b,b
Kepler-1374 b,b
Kepler-1375 b,b
Kepler-1376 b,b
Kepler-1377 b,b
Kepler-1378 b,b
Kepler-1379 b,b
Kepler-138 b,b
Kepler-138 c,c
Kepler-138 d,d
Kepler-1380 b,b
Kepler-1381 b,b
Kepler-1382 b,b
Kepler-1383 b,b
Kepler-1384 b,b
Kepler-1385 b,b
Kepler-1386 b,b
Kepler-1387 b,b
Kepler-1388 b,b
Kepler-1388 c,c
Kepler-1388 d,d
Kepler-1388 e,e
Kepler-1389 b,b
Kepler-139 b,b
Kepler-139 c,c
Kepler-1390 b,b
Kepler-1391 b,b
Kepler-1392 b,b
Kepler-1393 b,b
Kepler-1394 b,b
Kepler-1395 b,b
Kepler-1396 b,b
Kepler-1397 b,b
Kepler-1398 b,b
Kepler-1398 c,c
Kepler-1399 b,b
Kepler-14 b,b
Kepler-140 b,b
Kepler-140 c,c
Kepler-1400 b,b
Kepler-1401 b,b
Kepler-1402 b,b
Kepler-1403 b,b
Kepler-1404 b,b
Kepler-1405 b,b
Kepler-1406 b,b
Kepler-1407 b,b
Kepler-1408 b,b
Kepler-1409 b,b
Kepler-141 b,b
Kepler-141 c,c
Kepler-1410 b,b
Kepler-1411 b,b
Kepler-1412 b,b
Kepler-1413 b,b
Kepler-1414 b,b
Kepler-1415 b,b
Kepler-1416 b,b
Kepler-1417 b,b
Kepler-1418 b,b
Kepler-1419 b,b
Kepler-142 b,b
Kepler-142 c,c
Kepler-142 d,d
Kepler-1420 b,b
Kepler-1421 b,b
Kepler-1422 b,b
Kepler-1423 b,b
Kepler-1424 b,b
Kepler-1425 b,b
Kepler-1426 b,b
Kepler-1427 b,b
Kepler-1428 b,b
Kepler-1429 b,b
Kepler-143 b,b
Kepler-143 c,c
Kepler-1430 b,b
Kepler-1431 b,b
Kepler-1432 b,b
Kepler-1433 b,b
Kepler-1434 b,b
Kepler-1435 b,b
Kepler-1436 b,b
Kepler-1437 b,b
Kepler-1438 b,b
Kepler-1439 b,b
Kepler-144 b,b
Kepler-144 c,c
Kepler-1440 b,b
Kepler-1441 b,b
Kepler-1442 b,b
Kepler-1443 b,b
Kepler-1444 b,b
Kepler-1445 b,b
Kepler-1446 b,b
Kepler-1447 b,b
Kepler-1448 b,b
Kepler-1449 b,b
Kepler-145 b,b
Kepler-145 c,c
Kepler-1450 b,b
Kepler-1451 b,b
Kepler-1452 b,b
Kepler-1453 b,b
Kepler-1454 b,b
Kepler-1455 b,b
Kepler-1456 b,b
Kepler-1457 b,b
Kepler-1458 b,b
Kepler-1459 b,b
Kepler-146 b,b
Kepler-146 c,c
Kepler-1460 b,b
Kepler-1461 b,b
Kepler-1462 b,b
Kepler-1463 b,b
Kepler-1464 b,b
Kepler-1464 c,c
Kepler-1465 b,b
Kepler-1466 b,b
Kepler-1467 b,b
Kepler-1468 b,b
Kepler-1468 c,c
Kepler-1469 b,b
Kepler-147 b,b
Kepler-147 c,c
Kepler-1470 b,b
Kepler-1471 b,b
Kepler-1472 b,b
Kepler-1473 b,b
Kepler-1474 b,b
Kepler-1475 b,b
Kepler-1476 b,b
Kepler-1477 b,b
Kepler-1478 b,b
Kepler-1479 b,b
Kepler-148 b,b
Kepler-148 c,c
Kepler-148 d,d
Kepler-1480 b,b
Kepler-1481 b,b
Kepler-1482 b,b
Kepler-1483 b,b
Kepler-1484 b,b
Kepler-1485 b,b
Kepler-1486 b,b
Kepler-1487 b,b
Kepler-1488 b,b
Kepler-1489 b,b
Kepler-149 b,b
Kepler-149 c,c
Kepler-149 d,d
Kepler-1490 b,b
Kepler-1491 b,b
Kepler-1492 b,b
Kepler-1493 b,b
Kepler-1494 b,b
Kepler-1495 b,b
Kepler-1496 b,b
Kepler-1497 b,b
Kepler-1498 b,b
Kepler-1499 b,b
Kepler-15 b,b
Kepler-150 b,b
Kepler-150 c,c
Kepler-150 d,d
Kepler-150 e,e
Kepler-150 f,f
Kepler-1500 b,b
Kepler-1501 b,b
Kepler-1502 b,b
Kepler-1503 b,b
Kepler-1504 b,b
Kepler-1505 b,b
Kepler-1506 b,b
Kepler-1507 b,b
Kepler-1508 b,b
Kepler-1509 b,b
Kepler-151 b,b
Kepler-151 c,c
Kepler-1510 b,b
Kepler-1511 b,b
Kepler-1512 b,b
Kepler-1513 b,b
Kepler-1514 b,b
Kepler-1514 c,c
Kepler-1515 b,b
Kepler-1516 b,b
Kepler-1517 b,b
Kepler-1518 b,b
Kepler-1519 b,b
Kepler-152 b,b
Kepler-152 c,c
Kepler-1520 b,b
Kepler-1521 b,b
Kepler-1522 b,b
Kepler-1523 b,b
Kepler-1524 b,b
Kepler-1525 b,b
Kepler-1526 b,b
Kepler-1527 b,b
Kepler-1528 b,b
Kepler-1529 b,b
Kepler-153 b,b
Kepler-153 c,c
Kepler-1530 b,b
Kepler-1530 c,c
Kepler-1531 b,b
Kepler-1532 b,b
Kepler-1533 b,b
Kepler-1534 b,b
Kepler-1535 b,b
Kepler-1536 b,b
Kepler-1537 b,b
Kepler-1538 b,b
Kepler-1539 b,b
Kepler-154 b,b
Kepler-154 c,c
Kepler-154 d,d
Kepler-154 e,e
Kepler-154 f,f
Kepler-1540 b,b
Kepler-1541 b,b
Kepler-1542 b,b
Kepler-1542 c,c
Kepler-1542 d,d
Kepler-1542 e,e
Kepler-1543 b,b
Kepler-1544 b,b
Kepler-1545 b,b
Kepler-1546 b,b
Kepler-1547 b,b
Kepler-1548 b,b
Kepler-1549 b,b
Kepler-155 b,b
Kepler-155 c,c
Kepler-1550 b,b
Kepler-1551 b,b
Kepler-1552 b,b
Kepler-1553 b,b
Kepler-1554 b,b
Kepler-1555 b,b
Kepler-1556 b,b
Kepler-1557 b,b
Kepler-1558 b,b
Kepler-1559 b,b
Kepler-156 b,b
Kepler-156 c,c
Kepler-1560 b,b
Kepler-1561 b,b
Kepler-1562 b,b
Kepler-1563 b,b
Kepler-1564 b,b
Kepler-1565 b,b
Kepler-1566 b,b
Kepler-1567 b,b
Kepler-1568 b,b
Kepler-1569 b,b
Kepler-157 b,b
Kepler-157 c,c
Kepler-157 d,d
Kepler-1570 b,b
Kepler-1571 b,b
Kepler-1572 b,b
Kepler-1573 b,b
Kepler-1574 b,b
Kepler-1575 b,b
Kepler-1576 b,b
Kepler-1577 b,b
Kepler-1578 b,b
Kepler-1579 b,b
Kepler-158 b,b
Kepler-158 c,c
Kepler-1580 b,b
Kepler-1581 b,b
Kepler-1582 b,b
Kepler-1583 b,b
Kepler-1584 b,b
Kepler-1585 b,b
Kepler-1586 b,b
Kepler-1587 b,b
Kepler-1588 b,b
Kepler-1589 b,b
Kepler-159 b,b
Kepler-159 c,c
Kepler-1590 b,b
Kepler-1591 b,b
Kepler-1592 b,b
Kepler-1593 b,b
Kepler-1594 b,b
Kepler-1595 b,b
Kepler-1596 b,b
Kepler-1597 b,b
Kepler-1598 b,b
Kepler-1599 b,b
Kepler-16 b,b
Kepler-160 b,b
Kepler-160 c,c
Kepler-160 d,d
Kepler-1600 b,b
Kepler-1601 b,b
Kepler-1602 b,b
Kepler-1603 b,b
Kepler-1604 b,b
Kepler-1605 b,b
Kepler-1606 b,b
Kepler-1607 b,b
Kepler-1608 b,b
Kepler-1609 b,b
Kepler-161 b,b
Kepler-161 c,c
Kepler-1610 b,b
Kepler-1611 b,b
Kepler-1612 b,b
Kepler-1613 b,b
Kepler-1614 b,b
Kepler-1615 b,b
Kepler-1616 b,b
Kepler-1617 b,b
Kepler-1618 b,b
Kepler-1619 b,b
Kepler-162 b,b
Kepler-162 c,c
Kepler-1620 b,b
Kepler-1621 b,b
Kepler-1622 b,b
Kepler-1623 b,b
Kepler-1624 b,b
Kepler-1625 b,b
Kepler-1626 b,b
Kepler-1627 b,b
Kepler-1628 b,b
Kepler-1629 b,b
Kepler-163 b,b
Kepler-163 c,c
Kepler-1630 b,b
Kepler-1631 b,b
Kepler-1632 b,b
Kepler-1633 b,b
Kepler-1634 b,b
Kepler-1635 b,b
Kepler-1636 b,b
Kepler-1637 b,b
Kepler-1638 b,b
Kepler-1639 b,b
Kepler-164 b,b
Kepler-164 c,c
Kepler-164 d,d
Kepler-1640 b,b
Kepler-1641 b,b
Kepler-1641 c,c
Kepler-1642 b,b
Kepler-1642 c,c
Kepler-1643 b,b
Kepler-1644 b,b
Kepler-1645 b,b
Kepler-1646 b,b
Kepler-1647 b,b
Kepler-1649 b,b
Kepler-1649 c,c
Kepler-165 b,b
Kepler-165 c,c
Kepler-1650 b,b
Kepler-1651 b,b
Kepler-1652 b,b
Kepler-1653 b,b
Kepler-1654 b,b
Kepler-1655 b,b
Kepler-1656 b,b
Kepler-1658 b,b
Kepler-166 b,b
Kepler-166 c,c
Kepler-166 d,d
Kepler-1661 b,b
Kepler-1663 b,b
Kepler-1664 b,b
Kepler-1665 b,b
Kepler-1666 b,b
Kepler-1666 c,c
Kepler-1667 b,b
Kepler-1668 b,b
Kepler-1669 b,b
Kepler-167 b,b
Kepler-167 c,c
Kepler-167 d,d
Kepler-167 e,e
Kepler-1670 b,b
Kepler-1671 b,b
Kepler-1672 b,b
Kepler-1673 b,b
Kepler-1674 b,b
Kepler-1675 b,b
Kepler-1676 b,b
Kepler-1677 b,b
Kepler-1678 b,b
Kepler-1679 b,b
Kepler-168 b,b
Kepler-168 c,c
Kepler-1680 b,b
Kepler-1681 b,b
Kepler-1682 b,b
Kepler-1683 b,b
Kepler-1684 b,b
Kepler-1685 b,b
Kepler-1686 b,b
Kepler-1687 b,b
Kepler-1688 b,b
Kepler-1689 b,b
Kepler-169 b,b
Kepler-169 c,c
Kepler-169 d,d
Kepler-169 e,e
Kepler-169 f,f
Kepler-1690 b,b
Kepler-1691 b,b
Kepler-1692 b,b
Kepler-1693 b,b
Kepler-1694 b,b
Kepler-1695 b,b
Kepler-1696 b,b
Kepler-1697 b,b
Kepler-1698 b,b
Kepler-1699 b,b
Kepler-17 b,b
Kepler-170 b,b
Kepler-170 c,c
Kepler-1700 b,b
Kepler-1701 b,b
Kepler-1702 b,b
Kepler-171 b,b
Kepler-171 c,c
Kepler-171 d,d
Kepler-172 b,b
Kepler-172 c,c
Kepler-172 d,d
Kepler-172 e,e
Kepler-173 b,b
Kepler-173 c,c
Kepler-174 b,b
Kepler-174 c,c
Kepler-174 d,d
Kepler-175 b,b
Kepler-175 c,c
Kepler-176 b,b
Kepler-176 c,c
Kepler-176 d,d
Kepler-176 e,e
Kepler-177 b,b
Kepler-177 c,c
Kepler-178 b,b
Kepler-178 c,c
Kepler-178 d,d
Kepler-179 b,b
Kepler-179 c,c
Kepler-18 b,b
Kepler-18 c,c
Kepler-18 d,d
Kepler-180 b,b
Kepler-180 c,c
Kepler-181 b,b
Kepler-181 c,c
Kepler-182 b,b
Kepler-182 c,c
Kepler-183 b,b
Kepler-183 c,c
Kepler-184 b,b
Kepler-184 c,c
Kepler-184 d,d
Kepler-185 b,b
Kepler-185 c,c
Kepler-186 b,b
Kepler-186 c,c
Kepler-186 d,d
Kepler-186 e,e
Kepler-186 f,f
Kepler-187 b,b
Kepler-187 c,c
Kepler-188 b,b
Kepler-188 c,c
Kepler-189 b,b
Kepler-189 c,c
Kepler-19 b,b
Kepler-19 c,c
Kepler-19 d,d
Kepler-190 b,b
Kepler-190 c,c
Kepler-191 b,b
Kepler-191 c,c
Kepler-191 d,d
Kepler-192 b,b
Kepler-192 c,c
Kepler-192 d,d
Kepler-193 b,b
Kepler-193 c,c
Kepler-194 b,b
Kepler-194 c,c
Kepler-194 d,d
Kepler-195 b,b
Kepler-195 c,c
Kepler-196 b,b
Kepler-196 c,c
Kepler-197 b,b
Kepler-197 c,c
Kepler-197 d,d
Kepler-197 e,e
Kepler-198 b,b
Kepler-198 c,c
Kepler-198 d,d
Kepler-199 b,b
Kepler-199 c,c
Kepler-20 b,b
Kepler-20 c,c
Kepler-20 d,d
Kepler-20 e,e
Kepler-20 f,f
Kepler-20 g,g
Kepler-200 b,b
Kepler-200 c,c
Kepler-201 b,b
Kepler-201 c,c
Kepler-202 b,b
Kepler-202 c,c
Kepler-203 b,b
Kepler-203 c,c
Kepler-203 d,d
Kepler-204 b,b
Kepler-204 c,c
Kepler-205 b,b
Kepler-205 c,c
Kepler-206 b,b
Kepler-206 c,c
Kepler-206 d,d
Kepler-207 b,b
Kepler-207 c,c
Kepler-207 d,d
Kepler-208 b,b
Kepler-208 c,c
Kepler-208 d,d
Kepler-208 e,e
Kepler-209 b,b
Kepler-209 c,c
Kepler-21 b,b
Kepler-210 b,b
Kepler-210 c,c
Kepler-211 b,b
Kepler-211 c,c
Kepler-212 b,b
Kepler-212 c,c
Kepler-213 b,b
Kepler-213 c,c
Kepler-214 b,b
Kepler-214 c,c
Kepler-215 b,b
Kepler-215 c,c
Kepler-215 d,d
Kepler-215 e,e
Kepler-216 b,b
Kepler-216 c,c
Kepler-217 b,b
Kepler-217 c,c
Kepler-217 d,d
Kepler-218 b,b
Kepler-218 c,c
Kepler-218 d,d
Kepler-219 b,b
Kepler-219 c,c
Kepler-219 d,d
Kepler-22 b,b
Kepler-220 b,b
Kepler-220 c,c
Kepler-220 d,d
Kepler-220 e,e
Kepler-221 b,b
Kepler-221 c,c
Kepler-221 d,d
Kepler-221 e,e
Kepler-222 b,b
Kepler-222 c,c
Kepler-222 d,d
Kepler-223 b,b
Kepler-223 c,c
Kepler-223 d,d
Kepler-223 e,e
Kepler-224 b,b
Kepler-224 c,c
Kepler-224 d,d
Kepler-224 e,e
Kepler-225 b,b
Kepler-225 c,c
Kepler-226 b,b
Kepler-226 c,c
