pl_name,pl_letter
HAT-P-3 b,b
HAT-P-30 b,b
HAT-P-31 b,b
HAT-P-32 b,b
HAT-P-33 b,b
HAT-P-34 b,b
HAT-P-35 b,b
HAT-P-36 b,b
HAT-P-37 b,b
HAT-P-38 b,b
HAT-P-39 b,b
HAT-P-4 b,b
HAT-P-40 b,b
HAT-P-41 b,b
HAT-P-42 b,b
HAT-P-43 b,b
HAT-P-44 b,b
HAT-P-44 c,c
HAT-P-45 b,b
HAT-P-46 b,b
HAT-P-49 b,b
HAT-P-5 b,b
HAT-P-50 b,b
HAT-P-51 b,b
HAT-P-52 b,b
HAT-P-53 b,b
HAT-P-54 b,b
HAT-P-55 b,b
HAT-P-56 b,b
HAT-P-57 b,b
HAT-P-6 b,b
HAT-P-65 b,b
HAT-P-66 b,b
HAT-P-67 b,b
HAT-P-68 b,b
HAT-P-69 b,b
HAT-P-7 b,b
HAT-P-70 b,b
HAT-P-8 b,b
HAT-P-9 b,b
HATS-1 b,b
HATS-10 b,b
HATS-11 b,b
HATS-12 b,b
HATS-13 b,b
HATS-14 b,b
HATS-15 b,b
HATS-16 b,b
HATS-17 b,b
HATS-18 b,b
HATS-2 b,b
HATS-22 b,b
HATS-23 b,b
HATS-24 b,b
HATS-25 b,b
HATS-26 b,b
HATS-27 b,b
HATS-28 b,b
HATS-29 b,b
HATS-3 b,b
HATS-30 b,b
HATS-31 b,b
HATS-32 b,b
HATS-33 b,b
HATS-34 b,b
HATS-35 b,b
HATS-36 b,b
HATS-37 A b,b
HATS-38 b,b
HATS-39 b,b
HATS-4 b,b
HATS-40 b,b
HATS-41 b,b
HATS-42 b,b
HATS-43 b,b
HATS-44 b,b
HATS-45 b,b
HATS-46 b,b
HATS-47 b,b
HATS-48 A b,b
HATS-49 b,b
HATS-5 b,b
HATS-50 b,b
HATS-51 b,b
HATS-52 b,b
HATS-53 b,b
HATS-54 b,b
HATS-55 b,b
HATS-56 b,b
HATS-57 b,b
HATS-58 A b,b
HATS-59 b,b
HATS-59 c,c
HATS-6 b,b
HATS-60 b,b
HATS-61 b,b
HATS-62 b,b
HATS-63 b,b
HATS-64 b,b
HATS-65 b,b
HATS-66 b,b
HATS-67 b,b
HATS-68 b,b
HATS-69 b,b
HATS-7 b,b
HATS-70 b,b
HATS-71 b,b
HATS-72 b,b
HATS-8 b,b
HATS-9 b,b
HD 100546 b,b
HD 100655 b,b
HD 100777 b,b
HD 10180 c,c
HD 10180 d,d
HD 10180 e,e
HD 10180 f,f
HD 10180 g,g
HD 10180 h,h
HD 101930 b,b
HD 102117 b,b
HD 102195 b,b
HD 102272 b,b
HD 102329 b,b
HD 102329 c,c
HD 102365 b,b
HD 102843 b,b
HD 102956 b,b
HD 103197 b,b
HD 103720 b,b
HD 103774 b,b
HD 103949 b,b
HD 104067 b,b
HD 10442 b,b
HD 104985 b,b
HD 106252 b,b
HD 106270 b,b
HD 106315 b,b
HD 106315 c,c
HD 10647 b,b
HD 106515 A b,b
HD 106906 b,b
HD 10697 b,b
HD 107148 b,b
HD 108147 b,b
HD 108236 b,b
HD 108236 c,c
HD 108236 d,d
HD 108236 e,e
HD 108236 f,f
HD 108341 b,b
HD 108863 b,b
HD 108874 b,b
HD 108874 c,c
HD 109246 b,b
HD 109271 b,b
HD 109271 c,c
HD 109749 b,b
HD 110014 b,b
HD 110082 b,b
HD 110113 b,b
HD 110113 c,c
HD 111232 b,b
HD 111591 b,b
HD 111998 b,b
HD 112640 b,b
HD 113337 b,b
HD 113538 b,b
HD 113538 c,c
HD 113996 b,b
HD 114386 b,b
HD 114613 b,b
HD 114729 b,b
HD 114762 b,b
HD 114783 b,b
HD 114783 c,c
HD 11506 b,b
HD 11506 c,c
HD 116029 b,b
HD 116029 c,c
HD 117207 b,b
HD 11755 b,b
HD 117618 b,b
HD 118203 b,b
HD 11964 b,b
HD 11964 c,c
HD 11977 b,b
HD 120084 b,b
HD 121504 b,b
HD 12484 b,b
HD 125390 b,b
